cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchi,isosmiles,canonicalsmiles,inchikey,iupacname,exactmass,monoisotopicmass,charge,covalentunitcnt,isotopeatomcnt,totalatomstereocnt,definedatomstereocnt,undefinedatomstereocnt,totalbondstereocnt,definedbondstereocnt,undefinedbondstereocnt,pclidcnt,gpidcnt,gpfamilycnt,neighbortype,meshheadings,annothits,annothitcnt,aids,cidcdate,sidsrcname,depcatg,annotation
24642,Thallium chloride,"Thallium chloride|Thallium(I) chloride|THALLOUS CHLORIDE|Thallium monochloride|7791-12-0|Thallium(1+) chloride|chlorothallium|TlCl|Thallium chloride (TlCl)|Thallous chloride tl 201|Thallium chloride (VAN)|MFCD00011274|RCRA waste number U216|HSDB 6066|EINECS 232-241-4|NSC 15197|RCRA waste no. U216|chloridothallium|UNII-37CB58V15B|Thallium(I)chloride|[TlCl]|WLN: TL G|Thallium chloride, (TlCl)|Thallium(I) chloride, 99%|CHEBI:37117|Thallium(I) chloride, ultra dry|NSC15197|AKOS015916191|DB09316|Q425234|Thallium(I) chloride, 99.999% trace metals basis",239.830,ClTl,0.000,2.000,NULL,2,0,0,0,InChI=1S/ClH.Tl/h1H;/q;+1/p-1,Cl[Tl],Cl[Tl],GBECUEIQVRDUKB-UHFFFAOYSA-M,chlorothallium,239.943,239.943,0,1,0,0,0,0,0,0,0,1405,5793,2975,2D,NULL,Biological Test Results|Chemical and Physical Properties|Classification|Drug and Medication Information|Identification|Literature|Patents|Pharmacology and Biochemistry|Safety and Hazards|Toxicity|Use and Manufacturing,15,155|157|161|165|167|175|248|1259408,20050326,"3B Scientific (Wuhan) Corp|abcr GmbH|ABI Chem|AK Scientific, Inc. (AKSCI)|AKos Consulting & Solutions|Alfa Chemistry|Ambinter|Aurora Fine Chemicals LLC|BenchChem|ChEBI|Chembase.cn|ChemDB|ChemIDplus|Chemieliva Pharmaceutical Co., Ltd|ChemSpider|Collaborative Drug Discovery, Inc.|Comparative Toxicogenomics Database (CTD)|Cooke Chemical Co., Ltd|CymitQuimica|DiscoveryGate|DrugBank|DTP/NCI|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|EPA DSSTox|Genetic Toxicology Data Bank (GENE-TOX)|Google Patents|Human Metabolome Database (HMDB)|ISpharm|J&H Chemical Co.,ltd|LeadScope|NextBio|NovoSeek|PATENTSCOPE (WIPO)|RR Scientific|Santa Cruz Biotechnology, Inc.|SCRIPDB|Sigma-Aldrich|Smolecule|Springer Nature|THE BioTek|Thermo Fisher Scientific|Thieme Chemistry|Thomson Pharma|ToxPlanet|Wikidata",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL
24833,Thallium sulfate,"Thallium(I) sulfate|Thallous sulfate|THALLIUM SULFATE|7446-18-6|Tharattin|Zelio|Thallium sulphate|Dithallium sulfate|RCRA waste number P115|RCRA waste no. P115|U9F9QIR12T|10031-59-1|Bonide antzix|Th-Universal|Eccothal|M7-Giftkoerner|Dithallium sulphate|Sulfuric acid, thallium salt|CFS|Thallium(1) sulfate|Caswell No. 849|HSDB 6057|UNII-U9F9QIR12T|THALLIUM (I) SULFATE|AI3-26193|C.F.S. (VAN)|CCRIS 9169|Thallium sulfate, solid (DOT)|HSDB 6289|Sulfuric acid, thallium(1+) salt|EINECS 231-201-3|MFCD00011278|NA1707|NSC 15205|Sulfuric acid, thallium salt (1:1)|EPA Pesticide Chemical Code 080001|THALLOUS SULPHATE|THALLIUM SULFURICUM|THALLIUM SULPHURICUM|THALLIUM SULFATE [MI]|DTXSID1024336|CHEBI:81836|DITHALLIUM SULFATE [HSDB]|THALLIUM SULFATE [WHO-DD]|THALLIUM(I) TETRAOXOSULFATE|Sulfuric acid, thallium salt (1:?)|SULFURIC ACID DITHALLIUM(1+) SALT|C18567|Thallium sulfate, solid [NA1707]  [Poison]|Q414866",504.830,O4STl2,88.600,62.200,NULL,7,0,4,0,"InChI=1S/H2O4S.2Tl/c1-5(2,3)4;;/h(H2,1,2,3,4);;/q;2*+1/p-2",[O-]S(=O)(=O)[O-].[Tl+].[Tl+],[O-]S(=O)(=O)[O-].[Tl+].[Tl+],YTQVHRVITVLIRD-UHFFFAOYSA-L,thallium(1+);sulfate,505.901,505.901,0,3,0,0,0,0,0,0,0,43,4245,1379,2D,NULL,Agrochemical Information|Biological Test Results|Chemical and Physical Properties|Classification|Identification|Literature|Patents|Pharmacology and Biochemistry|Safety and Hazards|Toxicity|Use and Manufacturing,14,1259407,20050808,"001Chemical|abcr GmbH|ABI Chem|Alfa Chemistry|Aurora Fine Chemicals LLC|ChEBI|Chembase.cn|Chemical Carcinogenesis Research Information System (CCRIS)|ChemIDplus|ChemMol|ChemSpider|ChemTik|Comparative Toxicogenomics Database (CTD)|Crystallography Open Database (COD)|DiscoveryGate|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|EPA DSSTox|EPA Substance Registry Services|FDA Global Substance Registration System (GSRS)|Google Patents|J&H Chemical Co.,ltd|Japan Chemical Substance Dictionary (Nikkaji)|KEGG|LeadScope|MP Biomedicals|MuseChem|NextBio|NIST Chemistry WebBook|NORMAN Suspect List Exchange|NovoSeek|RR Scientific|Santa Cruz Biotechnology, Inc.|Thermo Fisher Scientific|Thomson Pharma|ToxPlanet|VWR, Part of Avantor|Wikidata",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,D010575 - Pesticides > D012378 - Rodenticides|D016573 - Agrochemicals
11247,Thallium(I) acetate,"Thallium(I) acetate|Thallous acetate|THALLIUM ACETATE|Thallium monoacetate|563-68-8|Thallium(1+) acetate|Acetic acid, thallium(1+) salt|Acetic acid, thallium(I) salt|thallium (I) acetate|EINECS 239-947-1|Acetic acid, thallium(1) salt|DTXSID6024331|Q2901889VM|15843-14-8|RCRA waste number U214|HSDB 855|NSC-112214|EINECS 209-257-5|RCRA waste no. U214|NSC 112214|AI3-04631|UNII-Q2901889VM|Thallium(I)-acetate|thallium(1+);acetate|SCHEMBL20096|THALLIUM ACETATE [MI]|DTXCID304331|CHEBI:75192|HQOJMTATBXYHNR-UHFFFAOYSA-M|THALLIUM ACETATE [WHO-DD]|THALLIUM(I) ACETATE [HSDB]|Tox21_201001|AKOS030242457|NCGC00258554-01|Acetic acid, thallium(1+) salt (1:1)|CAS-563-68-8|ACETIC ACID THALLIUM(1+) SALT (1:1)",263.430,C2H3O2Tl,40.100,25.500,NULL,5,0,2,0,"InChI=1S/C2H4O2.Tl/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1",CC(=O)[O-].[Tl+],CC(=O)[O-].[Tl+],HQOJMTATBXYHNR-UHFFFAOYSA-M,thallium(1+);acetate,263.988,263.988,0,2,0,0,0,0,0,0,0,54,2318,846,2D,NULL,Biological Test Results|Chemical and Physical Properties|Classification|Drug and Medication Information|Identification|Literature|Patents|Pharmacology and Biochemistry|Safety and Hazards|Toxicity|Use and Manufacturing,14,651631|651632|651633|651634|720516|720552|720634|720635|720637|720674|720675|720678|720679|720680|720681|720682|720683|720684|720685|720686|720687|720691|720692|720693|720719|720725|743012|743014|743015|743033|743035|743036|743040|743041|743042|743053|743054|743063|743064|743065|743066|743067|743069|743074|743075|743077|743078|743079|743080|743081|743083|743084|743085|743086|743091|743094|743122|743139|743140|743191|743194|743199|743202|743203|743209|743210|743211|743212|743213|743215|743217|743218|743219|743220|743221|743222|743223|743224|743225|743226|743227|743228|743239|743240|743241|743242|1159509|1159515|1159516|1159517|1159518|1159519|1159520|1159521|1159523|1159525|1159526|1159527|1159528|1159529|1159531|1159551|1159552|1159553|1159555|1224834|1224835|1224836|1224837|1224838|1224839|1224840|1224841|1224842|1224843|1224844|1224845|1224846|1224847|1224848|1224849|1224867|1224868|1224869|1224870|1224871|1224872|1224873|1224874|1224875|1224876|1224877|1224878|1224879|1224880|1224881|1224882|1224883|1224884|1224885|1224886|1224887|1224888|1224889|1224890|1224892|1224893|1224894|1224895|1224896|1259241|1259242|1259243|1259244|1259247|1259248|1259364|1259365|1259366|1259367|1259368|1259369|1259377|1259378|1259379|1259380|1259381|1259382|1259383|1259384|1259385|1259386|1259387|1259388|1259390|1259391|1259392|1259393|1259394|1259395|1259396|1259401|1259402|1259403|1259404|1259408|1346784|1346795|1346798|1346799|1346824|1346829|1346859|1346877|1346891|1346924|1346977|1346978|1346979|1346980|1346981|1346982|1347030|1347031|1347032|1347033|1347034|1347035|1347036|1347037|1347038|1347395|1347397|1347398|1347399|1671196|1671197|1671198|1671199|1671200|1671201,20050719,"001Chemical|ABI Chem|AKos Consulting & Solutions|Angene Chemical|BenchChem|ChEBI|Chembase.cn|ChemExper Chemical Directory|ChemIDplus|ChemSpider|ChemTik|Comparative Toxicogenomics Database (CTD)|CymitQuimica|DiscoveryGate|EPA DSSTox|EPA Substance Registry Services|FDA Global Substance Registration System (GSRS)|Genetic Toxicology Data Bank (GENE-TOX)|Google Patents|iChemical Technology USA Inc|ISpharm|Japan Chemical Substance Dictionary (Nikkaji)|LeadScope|MP Biomedicals|NextBio|NextMove Software|NIST Chemistry WebBook|NORMAN Suspect List Exchange|NovoSeek|RR Scientific|Santa Cruz Biotechnology, Inc.|Starshine Chemical|SureChEMBL|Thomson Pharma|Tox21|ToxPlanet|VladaChem|VWR, Part of Avantor|Yuhao Chemical",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL
5359464,Thallium,"7440-28-0|Thallium|Tl|talio|Thallium granules|81Tl|CHEBI:30440|Ramor|Thallium, metallic|Thallium, elemental|Thallium 205|HSDB 4496|Ramor; Thallium, metallic; Thallium, elemental;|EINECS 231-138-1|UNII-AD84R52XLF|Thallium Standard: Tl @ 1000 microg/mL in 5% HNO3|Thallium Standard: Tl @ 10000 microg/mL in 5% HNO3|Thallium AA Standard: Tl @ 1000 microg/mL in 5% HNO3|Sulfur-Free Thallium Concentrate: Tl @ approx. 3 wt% in Hydrocarbons|Thallium (metal)|MUSCLE SPASMS|THALLIUM ELEMENT|THALLIUM METALLICUM|AD84R52XLF|DTXSID2036035|CHEBI:37109|BKVIYDNLLOSFOA-UHFFFAOYSA-N|DTXCID301012091|Thallium rod, 12.7mm (0.5in) dia|Q932|Thallium granules, 6mm (0.2in) & down|Thallium - Tl @ 1000 microg/mL in 5% HNO3|Thallium - Tl @ 1000 microg/g in Hydrocarbon Oil|Thallium Standard: Tl @ 1000 microg/g in Hydrocarbon Oil|Thallium Hollow Cathode Lamp: 2.0' Diameter, 4-pin, Cableless|Thallium, rod, 198mm, diameter 10.0mm, extruded, 99.99+%|Thallium, rod, 250mm, diameter 8.0mm, extruded, 99.99+%|Thallium, rod, 45mm, diameter 10.0mm, extruded, 99.99+%|Thallium, rod, 95mm, diameter 10.0mm, extruded, 99.99+%|Sulfur-Free Copper Concentrate: Cu @ approx. 3 wt% in Hydrocarbons|Thallium Hollow Cathode Lamp: 1.5' Diameter, 2-pin, Non-Coded|Thallium Hollow Cathode Lamp: 2.0' Diameter, 9-pin, Non-Coded|Thallium standard for ICP, for ICP, ready-to-use, in nitric acid|Thallium, granular, 1-5 mm diameter, 99.99% trace metals basis|Sulfur-Free Thallium Standard: Tl @ 1000 microg/g in Hydrocarbon Oil",204.383,Tl,0.000,0.000,NULL,1,0,0,0,InChI=1S/Tl,[Tl],[Tl],BKVIYDNLLOSFOA-UHFFFAOYSA-N,thallium,204.974,204.974,0,1,0,0,0,0,0,0,0,5001,92249,40778,2D,Thallium,Chemical and Physical Properties|Classification|Drug and Medication Information|Identification|Literature|Patents|Pharmacology and Biochemistry|Safety and Hazards|Toxicity|Use and Manufacturing,12,NULL,20040916,"001Chemical|1st Scientific|3B Scientific (Wuhan) Corp|3WAY PHARM INC|A2B Chem|AA BLOCKS|AAA Chemistry|Aaron Chemicals LLC|ABBLIS Chemicals|abcr GmbH|ABI Chem|Acadechem|Achemica|Achemo Scientific Limited|AHH Chemical co.,ltd|AK Scientific, Inc. (AKSCI)|AKos Consulting & Solutions|Alfa Chemistry|Alichem|Amadis Chemical|Ambinter|AN PharmaTech|Angene Chemical|Anward|AstaTech, Inc.|Aurora Fine Chemicals LLC|BenchChem|Biocore|BioCyc|BOC Sciences|ChEBI|ChemBank|Chembase.cn|ChemDB|Chemenu Inc.|ChemExper Chemical Directory|Chemical Carcinogenesis Research Information System (CCRIS)|ChemIDplus|Chemieliva Pharmaceutical Co., Ltd|ChemMol|ChemSpider|ChemTik|Clearsynth|Collaborative Drug Discovery, Inc.|Comparative Toxicogenomics Database (CTD)|Cooke Chemical Co., Ltd|Crystallography Open Database (COD)|CymitQuimica|Debye Scientific Co., Ltd|DiscoveryGate|DTP/NCI|ECI Group, LCSB, University of Luxembourg|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|eNovation Chemicals|EPA DSSTox|EPA Substance Registry Services|FDA Global Substance Registration System (GSRS)|Finetech Industry Limited|Genetic Toxicology Data Bank (GENE-TOX)|Google Patents|Hairui Chemical|iChemical Technology USA Inc|ISpharm|J&H Chemical Co.,ltd|Japan Chemical Substance Dictionary (Nikkaji)|KEGG|King Scientific|Kingston Chemistry|LabNetwork, a WuXi AppTec Company|labseeker|LeadScope|LEAPCHEM|LGC Standards|Matrix Scientific|MolCore BioPharmatech|MolPort|MP Biomedicals|MuseChem|National Center for Advancing Translational Sciences (NCATS)|Nature Chemistry|NCBI Structure|NextBio|NextMove Software|NIAID ChemDB|NIST Chemistry WebBook|NORMAN Suspect List Exchange|NovoSeek|Oakwood Products|OChem|Parchem|PATENTSCOPE (WIPO)|Probes & Drugs portal|Protein Data Bank in Europe (PDBe)|PubChem Reference Collection|RESOLUTE - Research Empowerment on Solute Carriers|RR Scientific|Santa Cruz Biotechnology, Inc.|SCRIPDB|Sigma-Aldrich|SMID|Smolecule|Springer Nature|SpringerMaterials|Starshine Chemical|Strem Chemicals, Inc.|SureChEMBL|SynQuest Laboratories|TCI (Tokyo Chemical Industry)|THE BioTek|The Scripps Research Institute Molecular Screening Center|Thermo Fisher Scientific|Thieme Chemistry|Thomson Pharma|TimTec|Tox21|ToxPlanet|Tractus|Vesino Industrial Co., Ltd|VladaChem|VWR, Part of Avantor|Wikidata|Win-Win Chemical|Wubei-Biochem|Yick-Vic Chemicals & Pharmaceuticals (HK) Ltd.|Yuhao Chemical",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,NULL
24937,Thallium nitrate,"Thallium(I) nitrate|Thallium nitrate|Thallium(1+) nitrate|THALLOUS NITRATE|Thallium mononitrate|Thallium (I) nitrate|Nitric acid, thallium(1+) salt|Nitric acid, thallium salt|LJQ38DSR12|DTXSID1024334|16901-76-1|Thallium nitrate (VAN)|MFCD00011280|RCRA waste number U217|HSDB 6067|EINECS 233-273-1|NSC 84275|UN2727|RCRA waste no. U217|UNII-LJQ38DSR12|Thalliumi) nitrate|Thallium(1)nitrate|DTXCID504334|THALLOUS NITRATE [HSDB]|THALLIUM MONONITRATE [MI]|FYWSTUCDSVYLPV-UHFFFAOYSA-N|Tox21_200256|AKOS025293959|NCGC00257810-01|Thallium nitrate [UN2727]  [Poison]|CAS-10102-45-1",266.390,NO3Tl,62.900,18.800,NULL,5,0,3,0,InChI=1S/NO3.Tl/c2-1(3)4;/q-1;+1,[N+](=O)([O-])[O-].[Tl+],[N+](=O)([O-])[O-].[Tl+],FYWSTUCDSVYLPV-UHFFFAOYSA-N,thallium(1+);nitrate,266.962,266.962,0,2,0,0,0,0,0,0,0,20,3799,1775,2D,NULL,Biological Test Results|Chemical and Physical Properties|Classification|Identification|Literature|Patents|Pharmacology and Biochemistry|Safety and Hazards|Toxicity|Use and Manufacturing,12,651631|651632|651633|651634|720516|720552|720634|720635|720637|720674|720675|720678|720679|720680|720681|720682|720683|720684|720685|720686|720687|720691|720692|720693|720719|720725|743012|743014|743015|743033|743035|743036|743040|743041|743042|743053|743054|743063|743064|743065|743066|743067|743069|743074|743075|743077|743078|743079|743080|743081|743083|743084|743085|743086|743091|743094|743122|743139|743140|743191|743194|743199|743202|743203|743209|743210|743211|743212|743213|743215|743217|743218|743219|743220|743221|743222|743223|743224|743225|743226|743227|743228|743239|743240|743241|743242|1159509|1159515|1159516|1159517|1159518|1159519|1159520|1159521|1159523|1159525|1159526|1159527|1159528|1159529|1159531|1159551|1159552|1159553|1159555|1224834|1224835|1224836|1224837|1224838|1224839|1224840|1224841|1224842|1224843|1224844|1224845|1224846|1224847|1224848|1224849|1224867|1224868|1224869|1224870|1224871|1224872|1224873|1224874|1224875|1224876|1224877|1224878|1224879|1224880|1224881|1224882|1224883|1224884|1224885|1224886|1224887|1224888|1224889|1224890|1224892|1224893|1224894|1224895|1224896|1259241|1259242|1259243|1259244|1259247|1259248|1259364|1259365|1259366|1259367|1259368|1259369|1259377|1259378|1259379|1259380|1259381|1259382|1259383|1259384|1259385|1259386|1259387|1259388|1259390|1259391|1259392|1259393|1259394|1259395|1259396|1259401|1259402|1259403|1259404|1346784|1346795|1346798|1346799|1346824|1346829|1346859|1346877|1346891|1346924|1346977|1346978|1346979|1346980|1346981|1346982|1347030|1347031|1347032|1347033|1347034|1347035|1347036|1347037|1347038|1347395|1347397|1347398|1347399|1671196|1671197|1671198|1671199|1671200|1671201,20050808,"abcr GmbH|ABI Chem|AK Scientific, Inc. (AKSCI)|AKos Consulting & Solutions|Alfa Chemistry|Aurora Fine Chemicals LLC|Chembase.cn|ChemIDplus|ChemSpider|ChemTik|Clearsynth|Comparative Toxicogenomics Database (CTD)|DiscoveryGate|EPA DSSTox|EPA Substance Registry Services|FDA Global Substance Registration System (GSRS)|Google Patents|iChemical Technology USA Inc|ISpharm|LeadScope|MolPort|MP Biomedicals|MuseChem|NextBio|NextMove Software|NIST Chemistry WebBook|NORMAN Suspect List Exchange|NovoSeek|RR Scientific|Santa Cruz Biotechnology, Inc.|Starshine Chemical|Thermo Fisher Scientific|Thomson Pharma|Tox21|ToxPlanet|Tractus|Wubei-Biochem",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL
16211288,Thallium triacetate,"Thallium(I) acetate|THALLIUM ACETATE|Thallium triacetate|Acetic Acid Thallium(1+) Salt|563-68-8|Acetic acid, thallium(1) salt|Thallic triacetate|Tris(acetato)thallium|Triacetatothallium(III)|NSC-112214|NSC-127177|Thallium acetate Tl(OAc)|WLN: QV1 &-TL-|NSC112214|NSC127177",264.440,C2H4O2Tl,37.300,31.000,NULL,5,1,2,0,"InChI=1S/C2H4O2.Tl/c1-2(3)4;/h1H3,(H,3,4);",CC(=O)O.[Tl],CC(=O)O.[Tl],LVAMVZXECCXUGI-UHFFFAOYSA-N,NULL,264.996,264.996,0,2,0,0,0,0,0,0,0,36,344,168,2D,NULL,Biological Test Results|Chemical and Physical Properties|Classification|Drug and Medication Information|Identification|Literature|Patents|Pharmacology and Biochemistry|Safety and Hazards|Toxicity|Use and Manufacturing,11,256,20070712,"ABI Chem|Ambinter|BenchChem|Chemieliva Pharmaceutical Co., Ltd|DTP/NCI|Google Patents|NovoSeek|PATENTSCOPE (WIPO)|Smolecule|Springer Nature|THE BioTek|ToxPlanet|VWR, Part of Avantor",Chemical Vendors|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL
23031,Thallium carbonate,"Thallous carbonate|Thallium carbonate|Thallium(I) carbonate|DITHALLIUM CARBONATE|6533-73-9|Carbonic acid, dithallium(1+) salt|H673633FTH|NSC 112225|29809-42-5|Carbonic acid, thallium(1+) salt (1:2)|Thallium carbonate (Tl2CO3)|EINECS 229-434-0|Thallium carbonate (TlCO3)|Thallium(I) carbonate (2:1)|HSDB 6009|NSC-112225|thallium(1+) carbonate|Thallium hydrogen carbonate|RCRA Waste No. U215|UNII-H673633FTH|THALLIUM (I) CARBONATE|Carbonic acid, thallium(1+) salt|EINECS 249-868-4|SCHEMBL19171|THALLIUM CARBONATE [MI]|DTXSID1024332|Thallium(i)carbonate,99.999%|DITHALLIUM CARBONATE [HSDB]",468.780,CO3Tl2,63.200,18.800,NULL,6,0,3,0,"InChI=1S/CH2O3.2Tl/c2-1(3)4;;/h(H2,2,3,4);;/q;2*+1/p-2",C(=O)([O-])[O-].[Tl+].[Tl+],C(=O)([O-])[O-].[Tl+].[Tl+],DASUJKKKKGHFBF-UHFFFAOYSA-L,thallium(1+);carbonate,469.934,469.934,0,3,0,0,0,0,0,0,0,4,1585,498,2D,NULL,Chemical and Physical Properties|Classification|Identification|Literature|Patents|Pharmacology and Biochemistry|Safety and Hazards|Toxicity|Use and Manufacturing,10,NULL,20050808,"001Chemical|A2B Chem|ABI Chem|Alfa Chemistry|Ambinter|Chembase.cn|ChemIDplus|ChemSpider|CymitQuimica|DiscoveryGate|EPA DSSTox|EPA Substance Registry Services|FDA Global Substance Registration System (GSRS)|Google Patents|ISpharm|J&H Chemical Co.,ltd|Japan Chemical Substance Dictionary (Nikkaji)|LeadScope|MP Biomedicals|NextBio|NORMAN Suspect List Exchange|NovoSeek|Parchem|RR Scientific|Santa Cruz Biotechnology, Inc.|SureChEMBL|Thomson Pharma|ToxPlanet",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL
131675083,CID 131675083,563-68-8,266.450,C2H6O2Tl,37.300,31.000,NULL,5,1,2,0,"InChI=1S/C2H4O2.Tl.H2/c1-2(3)4;;/h1H3,(H,3,4);;1H",[HH].CC(=O)O.[Tl],[HH].CC(=O)O.[Tl],CNWGLQAFFSLHRX-UHFFFAOYSA-N,NULL,267.011,267.011,0,3,0,0,0,0,0,0,0,8,0,0,2D,NULL,Chemical and Physical Properties|Classification|Drug and Medication Information|Identification|Literature|Pharmacology and Biochemistry|Safety and Hazards|Toxicity|Use and Manufacturing,9,NULL,20171020,Thermo Fisher Scientific,Chemical Vendors,NULL
97304,Thallium cyclopentadienide,"Thallium cyclopentadienide|Thallous cyclopentadienide|cyclopenta-2,4-dien-1-ylthallium|34822-90-7|Thallium, .pi.-cyclopentadienyl-|Thallium, (.eta.5-2,4-cyclopentadien-1-yl)-|cylopentadienyl-thallium|cyclopentadienyl-thallium|2-Cyclopentadienyl thallium|Thallium, pi-cyclopentadienyl-|Thallium,4-cyclopentadien-1-yl)-|2,4-Cyclopentadien-1-ylthallium #|EINECS 252-229-2|c0954|NSC114719|Thallium, 2,4-cyclopentadien-1-yl-|AKOS015916200|NSC 114719|NSC-114719|Thallium, (eta5-2,4-cyclopentadien-1-yl)-|Thallium,(.eta.<5>-2,4-cyclopentadien-1-yl)-",269.480,C5H5Tl,0.000,80.100,NULL,6,0,0,0,InChI=1S/C5H5.Tl/c1-2-4-5-3-1;/h1-5H;,C1=CC(C=C1)[Tl],C1=CC(C=C1)[Tl],RKLJDPOVAWGBSD-UHFFFAOYSA-N,"cyclopenta-2,4-dien-1-ylthallium",270.014,270.014,0,1,0,0,0,0,0,0,0,22,6,3,2D,NULL,Biological Test Results|Chemical and Physical Properties|Classification|Literature|Patents|Safety and Hazards|Toxicity|Use and Manufacturing,9,248,20050326,3WAY PHARM INC|AAA Chemistry|ABI Chem|AKos Consulting & Solutions|Ambinter|BenchChem|ChemDB|ChemIDplus|ChemSpider|DiscoveryGate|DTP/NCI|Hairui Chemical|ISpharm|LEAPCHEM|NextBio|NextMove Software|NIST Chemistry WebBook|NIST Mass Spectrometry Data Center|NovoSeek|PATENTSCOPE (WIPO)|RR Scientific|Smolecule|Springer Nature|TCI (Tokyo Chemical Industry)|THE BioTek|Thieme Chemistry|Thomson Pharma,Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL
62677,Thallium(I) bromide,"Thallium(I) bromide|Thallium bromide|7789-40-4|Thallium monobromide|Thallous bromide|bromothallium|Thallium bromide (TlBr)|KRS-5|Thallium bromide (Tl2Br2)|Thallium bromide (TlBr), dimer|Thallium bromide iodide (TlBrI)|MFCD00011273|EINECS 232-163-0|NSC 15196|UNII-W18FF0756H|WLN: TL E|KRS 5|Thallium(I) bromide, ultra dry|DTXSID20894983|NSC15196|AKOS015915638|Q419400|Thallium(I) bromide, 99.999% trace metals basis|Thallium(I) bromide, anhydrous, beads, -10 mesh, 99.999% trace metals basis",284.290,BrTl,0.000,2.000,NULL,2,0,0,0,InChI=1S/BrH.Tl/h1H;/q;+1/p-1,Br[Tl],Br[Tl],PGAPATLGJSQQBU-UHFFFAOYSA-M,bromothallium,283.893,283.893,0,1,0,0,0,0,0,0,0,464,4624,2238,2D,NULL,Chemical and Physical Properties|Classification|Literature|Patents|Pharmacology and Biochemistry|Safety and Hazards|Toxicity|Use and Manufacturing,9,NULL,20050326,"3B Scientific (Wuhan) Corp|A2B Chem|AA BLOCKS|abcr GmbH|ABI Chem|AK Scientific, Inc. (AKSCI)|AKos Consulting & Solutions|Ambinter|Aurora Fine Chemicals LLC|BenchChem|Chembase.cn|ChemDB|ChemIDplus|Chemieliva Pharmaceutical Co., Ltd|ChemMol|ChemSpider|Cooke Chemical Co., Ltd|CymitQuimica|DiscoveryGate|DTP/NCI|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|EPA DSSTox|EPA Substance Registry Services|Google Patents|iChemical Technology USA Inc|ISpharm|LeadScope|NextBio|NovoSeek|PATENTSCOPE (WIPO)|Santa Cruz Biotechnology, Inc.|Sigma-Aldrich|Smolecule|Springer Nature|Strem Chemicals, Inc.|THE BioTek|Thieme Chemistry|ToxPlanet|VWR, Part of Avantor|Wikidata",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL
