true_temp,pred_temp
537.471,507.04248
640.0,589.6392
365.0,353.89548
919.0,870.29645
598.0,555.8004
568.9,557.0289
728.0,715.3526
723.2,704.41986
904.0,847.58484
536.4,529.03595
505.35,525.5798
660.0,662.6168
328.04,330.36972
438.848,415.3655
549.95,527.5556
637.3,613.328
664.1,610.8117
779.0,763.29877
126.1931,159.60701
623.0,619.57227
707.0,689.1568
594.0,579.29596
528.7,497.1707
798.0,791.6359
702.0,676.8547
437.84,479.3386
778.0,738.0824
594.37,560.33826
657.0,641.41956
487.0,509.27133
673.0,636.9328
592.0,567.8752
694.0,696.16473
647.23,670.9003
693.0,633.42175
496.3,455.3229
783.1,763.0153
664.1,661.47876
471.17,450.37454
611.7,581.7275
617.1,606.8548
706.0,702.2541
584.1,584.5085
521.0,482.02002
467.8,397.35873
423.27,408.4837
473.0,453.99567
812.0,756.2034
479.1,469.7485
543.0,536.57837
708.2,737.8306
598.0,575.6224
574.4,546.3746
502.2,526.7523
679.0,680.6021
679.0,664.0484
482.02,515.17
356.9,350.51303
511.749,449.74338
651.0,650.23016
718.0,700.6055
790.0,755.331
586.78,583.6119
623.8,624.84045
770.0,809.26666
317.45,346.1995
840.0,752.0634
685.7,658.1976
732.0,717.15186
628.0,626.89166
730.0,728.64923
678.5,680.6021
384.97,390.82938
651.0,639.8648
624.0,545.9473
562.032,482.63284
789.9,754.60913
707.0,702.21014
618.0,603.5683
454.9,445.1473
665.0,646.27734
850.0,829.2937
418.6,430.3647
530.0,521.3797
304.1467,323.80484
620.2,569.66425
448.9,474.872
836.0,812.84015
714.0,700.80945
400.31,433.23196
451.65,420.20807
500.0,467.65924
594.0,590.1193
456.6,368.34604
406.814,400.5394
575.3,538.63983
711.1,707.6418
573.5,543.62616
702.0,691.8741
302.98,306.905
687.64,641.7048
397.0,410.47476
510.2,483.01007
549.0,511.11905
134.35,144.35806
784.0,756.455
373.05,352.1423
607.0,593.1203
671.8,665.40155
682.0,670.17944
803.1,779.50964
386.449,393.74026
561.5,549.66113
518.0,487.03387
453.0,439.85696
428.0,406.90005
772.0,717.5561
547.76,564.55237
685.0,680.52704
641.39,645.1451
792.0,788.3949
544.1,523.7161
510.0,464.63498
549.9,563.26715
403.41,384.39227
560.3,527.653
44.4,51.193985
812.0,853.347
667.95,631.1645
544.2,481.1208
703.04,679.7908
684.0,655.393
849.0,798.3603
709.0,702.77527
625.0,626.8737
401.5,416.70963
558.9,536.0211
377.1,316.05215
437.7,428.39557
632.0,565.89276
632.0,621.2114
448.61,469.52927
576.7,583.7586
401.9,373.68088
673.0,635.09296
532.5,486.6429
374.126,379.36374
376.65,353.72168
608.0,621.3524
755.8,727.9723
778.0,826.4463
858.0,933.96246
524.0,517.33673
626.0,605.9315
699.0,722.8061
652.13,644.8769
535.62,539.9648
604.0,589.4732
449.2,429.927
345.868,354.85385
678.5,683.8271
726.0,739.99634
530.9,519.884
