,SMILES,BoilingPoint,MeltingPoint,CriticalTemp,CriticalPress,CriticalVolume,EnthalpyForm,GibbsEnergy,HeatCapacity,EnthalpyVap,EnthalpyFus,LiquidVisco,CrystalSolub_1,CrystalSolub_2,AmorphSolub_1,AmorphSolub_2,Molecular Weight,Log P,Molecular Refractivity,TPSA,LabuteASA,FractionCSP3,HallKierAlpha,HeavyAtomMolWt,Ipc,BertzCT,BalabanJ,Kappa1,Kappa2,Kappa3,Num_of_Atoms,Num_Hetero_Atoms,Num_H_Donors,Num_H_Acceptors,Num_Rot_Bonds,Num_Valence_Electrons,Heavy_Atom_Count,NHOHCount,NOCount,RingCount,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumAliphaticCarbocycles,NumAliphaticHeterocycles,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_ArN,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_COO,fr_COO2,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_HOCCN,fr_imidazole,fr_imide,fr_Imine,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_NH0,fr_NH1,fr_NH2,fr_Nhpyrrole,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_SH,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,C=CCCCCC,356.44,166.89,523.4526510393445,29.281685125840962,408.5,-62.38000000000001,95.9,155.514211884,30.506,12.605999999999998,0.0003796706170570401,22488.621603067248,11271.010049331786,17.947237283396767,8.994926205317865,98.18899999999992,2.752700000000001,34.33899999999999,0.0,65.90888768437436,0.7142857142857143,-0.26,84.07699999999998,8334.189848538552,421.0937018895003,6.2038263173080725,0.5698878326039939,5.740000000000001,5.739999999999999,21,0,0,0,5,42,7,0,0,0,0,0,0,0,0,0,0,0,0,17.654700538379252,17.5,3.5,8.854059275497024,8.5,1.5,0.625,0.625,0.25,0.25,0.09375,0.09375,44.92670243065063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.190619786383078,0.0,0.0,0.0,0.0,0.0,0.0,6.531038962001867,25.649813665990006,12.745849802658759,15.078344117872419,4.1122756685106605,0.0,0.0,0.0,0.0,0.0,19.190619786383078,0.0,0.0,0.0,32.3435917226132,0.0,12.583110708037434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.53421150899632,12.583110708037434,0.0,0.0,0.0,0.0,0.0,0.0,101.12788761337868,0.0,0.0,0.0,0.0,-1.5160029289493575,-15.019727891156466,-5.008823459939532,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Fc1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,570.02,408.94000000000005,733.7616772142709,18.77277137167384,671.5,-1893.75,-1769.42,263.0480386432001,45.308,41.827999999999996,NA,2.96068411847322,1.4838570829817932,83.18229745895319,41.689905550213645,334.11199999999997,4.7446,51.457999999999984,0.0,114.14385135482335,0.0,-2.2600000000000002,334.11199999999997,54493.88210944759,669.959813936206,3.026914071477952,16.116428928116765,5.18067872840498,2.009337830542705,22,10,0,0,1,118,22,0,0,2,2,0,0,2,0,0,0,0,0,16.928203230275514,9.77964473009227,9.77964473009227,10.10683602522959,5.139822365046134,5.139822365046134,3.8898223650461348,3.8898223650461348,2.669607704741967,2.669607704741967,1.6487860888755979,1.6487860888755979,69.29911139385294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.90415047674821,0.0,0.0,0.0,43.90415047674821,0.0,0.0,0.0,0.0,0.0,11.126902983393991,0.0,46.53776672836716,11.63444168209179,0.0,0.0,43.90415047674821,0.0,0.0,0.0,0.0,0.0,58.17220841045895,0.0,11.126902983393991,0.0,0.0,0.0,0.0,58.17220841045895,0.0,0.0,0.0,11.126902983393991,0.0,43.90415047674821,0.0,0.0,131.16347988578147,0.0,0.0,-4.5200000000000005,-26.643479885781467,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,C=CC,264.91999999999996,121.81,427.6402909794194,46.657111290274415,184.5,20.18,62.220000000000006,63.974295304799995,21.602,2.246,0.00010191239806617835,988976.6814223168,495662.4870839311,40071.31968214863,20083.233859290136,42.08100000000002,1.1923,15.871000000000002,0.0,29.20935522544539,0.3333333333333333,-0.26,36.033,50.070310617666195,125.72862410467503,4.399515870465618,0.13847364942010698,1.7400000000000013,1.7399999999999973,9,0,0,0,1,18,3,0,0,0,0,0,0,0,0,0,0,0,0,7.6547005383792515,7.5,1.5,3.8540592754970233,3.5,0.5,0.125,0.125,0.0,0.0,0.0,0.0,19.435002825333115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.224551337021321,0.0,0.0,0.0,0.0,0.0,0.0,6.531038962001867,6.052071746035566,6.851892117295679,4.1122756685106605,4.1122756685106605,0.0,0.0,0.0,0.0,0.0,8.224551337021321,0.0,0.0,0.0,6.851892117295679,0.0,12.583110708037434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.076443454316998,12.583110708037434,0.0,0.0,0.0,0.0,0.0,0.0,39.045138888888886,0.0,0.0,0.0,0.0,-0.9143518518518514,0.0,-3.547453703703704,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,1206.32,585.64,1719.5166104574755,3.376625727105701,2499.5,-951.49,319.59999999999997,1012.7885453408,113.538,109.71600000000001,0.1969113878299763,2.025507022267434e-14,1.0151582611828274e-14,1.2891385776534514e-09,6.460997974963288e-10,619.2040000000038,17.410399999999967,205.26199999999915,0.0,408.8791069619892,1.0,0.0,528.4840000000004,9.569342421893336e+43,3712.3409044666705,8.689152824777757,4.599242467069931,43.0,42.0,134,0,0,0,43,266,44,0,0,0,0,0,0,0,0,0,0,0,0,112.0,112.0,22.0,55.75,55.75,10.75,5.25,5.25,2.5625,2.5625,1.25,1.25,281.3666300904254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.3682700553197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.3666300904254,0.0,123.3682700553197,0.0,0.0,0.0,0.0,0.0,0.0,123.3682700553197,0.0,0.0,0.0,281.3666300904254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.7349001457474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.0882365213783,0.0,0.0,0.0,0.0,0.0,-237.36517887671465,-8.723057644663882,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,COCCO,382.84,206.62,545.8147341350174,48.8338238690941,240.5,-389.7,-267.44,102.55458116399998,41.361000000000004,8.802,0.0019108276950556835,9366042.44043393,4694140.9007567065,972682.7700835135,487496.1867350681,76.09499999999996,-0.37489999999999996,18.9618,29.46,42.70334849779541,1.0,-0.08,68.03099999999999,259.49053431802645,172.7181776248383,4.575529773808592,0.5320895455159678,3.9200000000000004,3.92,13,2,1,2,4,32,5,1,2,0,0,0,0,0,0,0,0,0,0,10.914213562373096,10.316496580927726,2.3164965809277263,5.517766952966369,4.770620726159658,0.8623724356957947,0.3061862178478973,0.3061862178478973,0.09269770297464956,0.09269770297464956,0.02083333333333334,0.02083333333333334,20.155922944715165,0.0,0.0,0.0,0.0,0.0,0.0,9.84567114490726,11.026509550424175,0.0,0.0,9.84567114490726,0.0,0.0,0.0,0.0,0.0,0.0,7.037952458882589,22.713280379024116,0.0,0.0,1.4311996572326342,0.0,0.0,19.440981038098798,1.4311996572326342,0.0,0.0,0.0,20.155922944715165,0.0,0.0,0.0,0.0,0.0,26.695930793055012,4.736862953800049,0.0,9.59530989319154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.802083333333336,0.0,3.381666666666667,0.0,0.0,0.0,0.0,-6.345833333333333,-3.0879166666666675,-3.0879166666666675,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CCCCC=C(C)C,386.68,160.88,562.0373017883915,26.874199988659083,464.5,-101.02000000000002,88.14999999999999,174.6484404544,33.44,15.367999999999997,NA,12021.39268898852,6024.9685461412755,0.675264128195641,0.33843376037810524,112.21599999999991,3.142800000000002,38.956,0.0,75.08377079910656,0.75,-0.26,96.08799999999998,22442.211085541065,479.64112706202485,6.655534977063776,0.6799544698240754,4.888367952522255,5.740000000000001,24,0,0,0,6,48,8,0,0,0,0,0,0,0,0,0,0,0,0,20.154700538379252,20.0,4.0,10.026709006307398,9.75,1.75,0.875,0.875,0.3125,0.3125,0.125,0.125,51.299627331980005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.932136898723517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.22291819605927,20.076709135920737,20.561378342553297,1.3707585561702202,0.0,0.0,0.0,0.0,0.0,21.932136898723517,0.0,0.0,0.0,39.674451055875174,0.0,11.625176276104835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.606587954598744,11.625176276104835,0.0,0.0,0.0,0.0,0.0,0.0,116.579225718065,0.0,0.0,-1.6896140400604678,0.0,-1.83275462962963,-11.599692932728654,-10.623830782312925,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CCCCCCCCCCCCC(C)=O,573.79,297.47,741.9291909731479,16.01280768409805,825.5,-444.87000000000006,-61.92000000000001,326.67557492512,53.504000000000005,33.614999999999995,0.0039694531648017525,17.681026771878187,8.861504895487371,17.25823655930527,8.649607838443265,212.37700000000024,4.8864000000000045,67.14200000000005,17.07,134.98419461972787,0.9285714285714286,-0.33,184.15299999999996,56459403.9295971,1052.3102547439482,7.441064928566334,1.5787746414412116,11.743152889539138,13.67,43,1,0,1,13,90,15,0,1,0,0,0,0,0,0,0,0,0,0,36.07735026918962,35.40824829046386,7.408248290463863,17.904700538379252,17.45412414523193,3.4541241452319316,1.7041241452319316,1.7041241452319316,0.7385310363079829,0.7385310363079829,0.33801551815399145,0.33801551815399145,89.58920309557948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.38123957276617,4.794537184071822,0.0,4.794537184071822,0.0,0.0,0.0,0.0,64.20821622926009,13.224817018625059,44.75416447409556,0.0,5.783244946364939,0.0,0.0,0.0,0.0,43.175776756838005,0.0,0.0,0.0,83.80595814921453,0.0,0.0,0.0,0.0,5.783244946364939,0.0,5.783244946364939,4.794537184071822,0.0,122.18719772198058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.80834961174156,12.107903874699733,0.0,0.0,-2.62605109125906,0.0,-52.355339009479,-8.018196719036506,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,OCCc1ccccc1,501.5,267.15999999999997,699.0597722729503,40.93379817754543,394.5,-124.14999999999999,-7.9299999999999855,142.3870145255999,52.357,14.604999999999999,0.0067548335770719874,94504.80911389794,47364.60384426793,44258.648252416286,22181.869481711023,122.16699999999993,1.2214,37.23180000000001,20.23,69.09189636029156,0.25,-0.8200000000000001,112.08699999999997,8116.578594001201,481.73649564697394,3.6986747235584145,1.275893527746614,3.2539886368490754,1.8590386018272278,19,1,1,1,3,48,9,1,1,1,1,0,0,1,0,0,0,0,0,15.171208396324303,14.408248290463863,4.408248290463863,8.486086652322765,7.112372435695795,2.2041241452319316,1.2270620726159658,1.2270620726159658,0.6760310363079829,0.6760310363079829,0.3635310363079829,0.3635310363079829,48.70745517425914,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,13.768026662764614,0.0,0.0,5.1088081911072125,0.0,0.0,0.0,0.0,30.212093538316473,11.936376393026375,9.300502355256729,9.59530989319154,0.0,0.0,1.4311996572326342,0.0,0.0,17.44563519663919,1.4311996572326342,0.0,0.0,6.372924901329379,6.558985242916289,35.77554503001347,0.0,0.0,0.0,0.0,13.098993091256135,6.372924901329379,0.0,17.900278497228975,30.212093538316473,0.0,0.0,0.0,0.0,0.0,0.0,73.46536163076341,0.0,3.649188161375661,-0.8789351851851845,0.0,-3.988829365079363,-3.08113425925926,-3.1656509826152686,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,1114.8,540.56,1492.0438248658554,3.908790102818378,2275.5,-868.9300000000001,285.91999999999996,921.2486287615999,104.63399999999999,99.356,0.11215440619727013,1.8900898169248484e-12,9.472888866516407e-13,3.8215493678936655e-08,1.9153117558646744e-08,563.0960000000017,15.849999999999959,186.7939999999994,0.0,372.17957450306,1.0,0.0,480.4400000000004,3.018698923275763e+38,3391.5257900699908,8.623582309713312,4.15545386244109,39.0,38.0,122,0,0,0,39,242,40,0,0,0,0,0,0,0,0,0,0,0,0,102.0,102.0,20.0,50.75,50.75,9.75,4.75,4.75,2.3125,2.3125,1.125,1.125,255.87493048510788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.40220160595797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.87493048510788,0.0,112.40220160595797,0.0,0.0,0.0,0.0,0.0,0.0,112.40220160595797,0.0,0.0,0.0,255.87493048510788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.2771320910679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.2407657228218,0.0,0.0,0.0,0.0,0.0,-212.54872138777176,-8.692044335050493,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CCC(C)(C)OC,356.07,182.03,531.7806717686069,31.140385841836725,378.5,-308.13999999999993,-102.52000000000004,157.90630206159994,30.064,5.07,0.0005132075009807465,140978.58501529435,70656.66702450259,16701.969791902156,8370.814036129708,102.17699999999992,1.8214000000000001,31.37899999999998,9.23,65.34709383166889,1.0,-0.04,88.06499999999998,5569.471134276727,350.8863710044551,6.619711490260033,0.6205555800980719,2.3141072195146584,2.6311409395973158,21,1,0,1,6,44,7,0,1,0,0,0,0,0,0,0,0,0,0,17.707106781186546,17.408248290463863,3.408248290463863,8.707106781186548,8.408248290463863,1.4082482904638631,0.9082482904638631,0.9082482904638631,0.32912414523193156,0.32912414523193156,0.025515518153991442,0.025515518153991442,39.56760452308269,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,19.190619786383078,0.0,0.0,4.736862953800049,0.0,0.0,0.0,0.0,6.851892117295679,20.076709135920737,22.116296576755005,9.713326479494349,0.0,0.0,0.0,0.0,0.0,23.927482740183127,0.0,0.0,0.0,32.52965206420011,7.037952458882589,0.0,0.0,0.0,0.0,0.0,12.639003269866276,4.736862953800049,0.0,46.11922103959953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.18854166666667,0.0,0.0,-4.052083333333333,0.0,0.0,-3.981250000000001,-11.517708333333339,-3.6374999999999993,-3.6374999999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
