true_temp,pred_temp
537.471,559.1638
640.0,608.3937
365.0,410.811
919.0,1005.5291
598.0,541.1489
568.9,539.07086
728.0,761.9773
723.2,728.68024
904.0,973.6165
536.4,554.7667
505.35,540.2378
660.0,651.8446
328.04,388.60965
438.848,436.2549
549.95,598.6014
637.3,654.15204
664.1,650.68604
779.0,756.7892
126.1931,295.52707
623.0,588.11615
707.0,726.8597
594.0,629.8251
528.7,553.0678
798.0,830.52954
702.0,697.7226
437.84,513.92786
778.0,840.7314
594.37,585.4144
657.0,645.2506
487.0,525.04346
673.0,685.4565
592.0,614.0326
694.0,733.5172
647.23,673.8115
693.0,722.6466
496.3,488.77515
783.1,768.27356
664.1,695.4392
471.17,410.83646
611.7,623.1183
617.1,614.7481
706.0,702.51196
584.1,626.9758
521.0,550.16833
467.8,426.82156
423.27,436.1625
473.0,482.59665
812.0,873.12256
479.1,516.2793
543.0,559.2363
708.2,660.3667
598.0,602.0802
574.4,574.3848
502.2,547.1886
679.0,710.3296
679.0,667.93427
482.02,506.56995
356.9,380.92123
511.749,439.89578
651.0,651.70715
718.0,725.0089
790.0,804.69165
586.78,602.43805
623.8,649.65186
770.0,826.23224
317.45,399.7083
840.0,792.1355
685.7,667.2688
732.0,751.0454
628.0,628.2722
730.0,781.62885
678.5,710.3296
384.97,385.1798
651.0,663.2125
624.0,563.2286
562.032,544.59906
789.9,837.9878
707.0,736.45447
618.0,632.2224
454.9,483.48312
665.0,647.54565
850.0,683.38025
418.6,405.34778
530.0,610.22845
304.1467,328.54056
620.2,618.20703
448.9,528.8693
836.0,808.5281
714.0,775.949
400.31,467.17886
451.65,414.58426
500.0,476.2534
594.0,579.6264
456.6,339.27078
406.814,446.38058
575.3,604.1654
711.1,749.55444
573.5,568.1714
702.0,729.1405
302.98,378.6509
687.64,659.8992
397.0,373.77487
510.2,493.0908
549.0,564.7072
134.35,244.82164
784.0,798.8877
373.05,272.35556
607.0,608.99304
671.8,690.7621
682.0,730.53345
803.1,767.02795
386.449,446.34134
561.5,530.8832
518.0,525.18567
453.0,488.24185
428.0,390.62448
772.0,739.817
547.76,558.82764
685.0,710.2136
641.39,669.0086
792.0,867.7245
544.1,551.6682
510.0,486.18884
549.9,586.84326
403.41,397.4448
560.3,568.3479
44.4,188.26613
812.0,846.4249
667.95,652.79504
544.2,505.21127
703.04,696.8644
684.0,632.89746
849.0,937.90497
709.0,718.3733
625.0,623.2777
401.5,404.01743
558.9,548.3647
377.1,330.1807
437.7,451.52448
632.0,546.8871
632.0,642.152
448.61,497.52887
576.7,608.95935
401.9,417.5567
673.0,687.94904
532.5,448.21692
374.126,411.11172
376.65,417.42117
608.0,595.6727
755.8,801.29663
778.0,828.4704
858.0,898.4498
524.0,591.6769
626.0,610.0672
699.0,701.3729
652.13,668.646
535.62,567.4103
604.0,476.45273
449.2,476.59265
345.868,411.6633
678.5,701.0818
726.0,773.6925
530.9,557.3717
718.0,733.7571
775.0,783.48425
748.0,789.39404
683.75,679.70044
369.262,390.3625
777.8,819.7866
559.6,572.4512
670.0,632.3767
683.0,795.3211
490.7,525.14954
538.2,576.2921
679.0,584.6177
820.0,895.4596
653.0,678.9397
720.0,714.1967
653.0,682.20276
616.94,649.6924
497.88,557.43884
480.91,524.72833
591.8,619.41235
460.9,440.83948
463.89,461.0257
571.1,580.4627
561.2,577.8568
893.0,1032.2535
594.557,630.3485
435.7,423.78674
462.99,411.18448
528.0,563.3828
498.22,523.9926
775.0,787.8695
621.6,632.1609
144.0,307.68167
698.0,751.328
593.7,603.3959
433.3,448.6597
808.0,880.51807
623.0,676.7571
675.0,663.0095
359.4,381.92892
520.4,560.7788
411.98,396.39938
647.0,661.8518
578.1,593.19855
553.08,582.8917
698.77,746.4812
535.2,582.4574
368.9,368.6711
653.4,649.7125
612.0,654.1772
647.05,689.14417
500.21,535.80457
716.0,696.6743
504.58,564.66376
560.4,560.7312
768.0,817.6089
504.0,537.04785
561.44,562.3889
897.0,957.59814
855.0,945.3005
719.5,664.7025
532.7,568.28186
431.23,498.4711
770.0,781.09937
840.0,906.3961
646.0,678.7301
763.0,823.3131
864.0,931.2102
478.1,477.66107
379.5,362.82095
680.9,712.91797
523.1,559.6116
581.5,601.2158
698.8,622.3419
584.4,659.1019
563.6,605.643
668.0,690.2208
540.6,591.7507
491.3,502.77167
490.2,525.0055
629.0,667.74677
592.1,614.18964
640.2,662.83496
459.59,502.4699
614.0,609.72455
517.75,505.23483
647.0,620.8578
553.4,544.67175
632.0,671.8823
742.0,768.81146
567.5,536.10364
602.0,612.27185
634.7,654.69275
692.0,697.86255
574.88,706.8336
646.0,685.71606
398.07,410.42874
708.0,746.31934
415.76,444.60342
543.82,545.11304
641.0,631.79517
787.0,846.8815
487.6,429.91165
546.1,542.40265
623.8,665.6853
708.0,708.36993
830.0,905.51373
571.2,565.49255
836.0,883.71814
485.1,508.70755
716.4,692.62177
749.0,780.1199
542.0,592.40424
618.3,609.9718
686.0,712.2997
539.67,556.7494
668.0,664.073
899.0,980.5815
736.0,795.80853
312.09,305.3475
540.75,569.9562
649.0,678.78796
640.4,647.9757
668.59,669.0498
559.5,562.19556
421.75,432.8519
518.6,540.4244
695.0,699.3135
536.9,536.31036
811.0,848.1759
215.2,358.95285
150.71,226.80034
305.352,436.7454
475.0,475.42715
562.98,545.74506
534.65,556.3899
532.757,557.8599
708.0,749.82544
693.7,722.4653
701.0,721.49805
767.0,838.31287
590.5,594.1644
627.8,657.9988
680.0,580.9685
428.61,452.63666
579.41,573.09607
808.0,823.18176
509.0,519.1793
575.0,615.00244
339.173,390.61035
740.0,775.62524
569.4,608.6024
836.0,877.87866
444.88,443.3689
578.0,617.1261
539.2,543.3766
763.0,828.1267
635.0,647.3011
454.57,476.59265
597.38,610.5309
551.0,455.64233
540.14,491.47592
836.0,870.69806
593.5,572.9874
564.32,575.0364
656.0,664.29065
464.1,486.85318
839.0,947.25275
844.0,874.5089
598.5,631.8364
549.73,568.8788
362.32,379.92313
697.0,731.9429
325.4,252.85
428.95,420.6115
601.1,629.8723
432.79,487.4858
509.7,566.61017
454.4,454.34995
617.633,652.4645
609.0,638.19055
3.3,128.4587
575.6,565.71704
850.0,893.83484
658.23,693.1355
481.54,534.4414
540.16,586.11646
658.0,665.147
369.873,488.4332
532.0,571.5607
718.0,743.5509
579.8,547.2573
535.773,542.6164
543.86,571.17163
725.0,765.0502
675.0,656.3251
837.0,912.07947
725.0,723.71185
772.2,785.6422
435.0,469.6379
418.78,422.7939
548.62,540.852
428.75,433.07462
511.6,519.86597
361.95,437.36148
395.4,421.50525
476.55,539.7954
308.52,346.88385
506.13,485.49954
813.0,898.5929
664.43,676.5053
644.79,629.204
694.0,694.4498
602.6,603.2726
886.0,947.42035
538.6,547.82324
491.03,498.4212
944.0,952.4268
566.0,565.85156
588.0,607.56775
621.2,614.5209
692.43,729.3268
572.0,571.0145
416.266,445.35934
884.0,924.59247
619.0,649.3644
627.1,621.5344
261.08,428.07413
830.0,874.60583
611.0,623.4092
568.8,602.9338
663.1,653.8808
410.3,436.80325
838.0,849.3727
614.6,598.2623
483.71,482.3958
593.0,587.18384
712.0,741.49023
581.8,619.4927
679.0,741.99664
841.0,814.2516
566.3,617.0547
655.0,647.56476
560.6,437.61273
732.0,732.9878
645.1,645.78436
502.88,505.99625
592.3,587.5632
623.5,626.44434
548.5,541.10254
760.0,807.1101
555.0,572.90027
528.0,538.8168
653.0,616.0681
687.26,677.8395
455.1,468.13162
786.0,830.9662
728.0,779.5399
731.1,747.20197
760.0,802.4559
685.0,709.3473
700.0,721.78
651.5,634.209
309.57,345.44046
755.0,705.01575
512.77,561.8694
646.11,649.40784
607.55,608.2635
674.2,687.26306
568.837,608.23254
585.0,548.53015
868.0,944.2144
477.6,530.5244
472.25,488.41183
559.63,599.9507
599.6,611.162
612.0,615.4282
597.6,602.14166
603.5,587.5251
772.0,834.79065
513.9,483.84995
662.0,672.7605
667.0,695.37
594.099,592.4353
652.98,657.6082
685.0,707.3446
593.8,631.4675
827.0,841.474
692.0,718.06
519.19,536.9113
550.0,591.6183
630.56,635.9231
511.0,542.94745
560.06,574.56866
587.0,609.47217
508.27,493.05484
720.1,780.3397
619.18,594.9828
709.8,679.63806
260.0,261.89896
399.6,437.40726
603.7,636.0629
817.0,873.7448
710.0,734.0222
648.0,653.1675
653.0,698.59094
654.3,676.6731
769.0,810.5416
553.5,583.16425
605.3,616.74084
377.922,448.64694
645.88,663.9121
526.0,610.22845
742.0,676.60583
695.0,729.3545
530.63,585.59705
851.0,768.39307
1037.0,1026.7815
651.0,626.32294
662.0,654.36536
629.1,636.3242
556.9,583.9627
551.0,578.58887
420.26,406.2291
690.0,602.8453
763.0,805.9734
289.749,251.31
705.67,710.73456
658.0,693.91125
513.98,507.74646
672.2,636.0315
597.0,552.34204
395.425,413.25412
666.11,674.015
271.1,350.4543
780.0,848.12695
307.6,343.16473
430.62,407.12238
708.0,703.2611
608.5,602.93115
632.7,646.5301
797.0,822.6072
466.8,529.3249
410.6,415.05313
682.0,697.12244
582.46,588.5397
845.0,893.5338
427.12,441.15585
504.35,511.83118
605.0,602.091
451.56,461.40982
638.0,648.4028
361.85,406.54028
482.3,455.9304
476.2,540.68274
772.0,793.8209
618.0,557.3119
676.0,573.0918
535.963,545.36426
606.0,593.3517
595.8,586.96576
694.0,729.3545
508.09,505.01553
760.0,804.3579
323.55,336.58087
518.15,545.0724
716.0,695.8186
555.8,576.88293
767.0,795.6833
516.7,573.5107
576.0,618.57526
645.0,710.306
388.45,421.17377
495.8,499.0366
367.86,402.27573
770.0,778.25287
615.2,640.0299
507.0,505.2515
512.618,457.5386
604.4,594.0237
574.57,562.26013
579.45,571.08636
498.2,480.98093
475.5,511.47202
588.0,520.90247
531.1,578.24817
620.1,621.43414
842.0,899.5393
632.69,612.093
570.92,574.062
694.25,694.7016
776.0,769.38556
533.6,514.2095
589.0,623.9785
697.0,712.1041
719.0,655.9238
260.94,263.34018
687.0,622.71155
616.18,644.41223
583.5,625.7475
794.0,810.27014
721.74,717.1587
643.0,631.8406
723.0,742.06744
509.1,542.7788
505.1,506.56427
540.0,530.41565
502.0,477.11362
417.99,416.27368
512.0,536.08105
546.49,583.9854
477.3,461.85977
364.0,380.15164
651.0,670.2302
456.49,495.77194
523.78,550.3672
650.0,661.00397
372.35,395.88385
830.0,890.09796
396.467,359.6427
611.43,624.41406
323.5,419.11334
477.4,455.93228
639.66,607.80225
757.0,765.06226
519.0,515.6135
687.0,661.67554
634.4,658.70386
617.43,654.9817
705.0,717.7199
882.0,905.5696
639.66,656.84985
757.7,806.8019
669.1,664.96924
723.8,760.515
475.14,500.0173
400.6,399.63977
661.1,678.9658
629.8,625.359
556.349,532.3629
763.0,782.7909
606.1,635.4358
563.0,601.55273
451.43,474.88565
785.0,858.2864
647.317,274.75217
601.0,589.2208
585.0,587.07306
714.9,714.99866
410.14,296.09406
701.0,727.5137
270.0,274.21817
431.95,438.7101
740.8,738.0098
675.74,712.16046
667.25,678.61444
498.57,552.2927
687.8,710.1156
578.2,557.8753
496.95,529.2123
706.91,745.364
609.1,640.0765
450.0,476.59262
532.8,529.8951
638.28,627.65845
537.27,568.41376
619.0,622.3429
444.471,431.01523
798.0,864.282
456.89,409.65717
723.0,734.86914
687.0,711.47644
