true_temp,pred_temp
537.471,534.30975
640.0,556.26025
365.0,371.909
919.0,933.8401
598.0,574.36694
568.9,572.28015
728.0,747.94073
723.2,712.50543
904.0,908.7796
536.4,549.04865
505.35,547.4201
660.0,658.5771
328.04,344.79626
438.848,431.36768
549.95,553.69
637.3,605.6161
664.1,631.88354
779.0,768.4711
126.1931,173.50868
623.0,646.5146
707.0,717.9673
594.0,597.171
528.7,525.21796
798.0,818.62964
702.0,683.1567
437.84,495.79047
778.0,791.2349
594.37,580.1689
657.0,651.6879
487.0,529.47186
673.0,673.9251
592.0,592.87506
694.0,724.671
647.23,686.90125
693.0,676.38965
496.3,484.46677
783.1,768.72974
664.1,686.48914
471.17,480.33194
611.7,602.69257
617.1,614.9327
706.0,702.2907
584.1,610.5844
521.0,503.46747
467.8,419.11713
423.27,407.8628
473.0,470.82913
812.0,811.1187
479.1,489.318
543.0,555.2211
708.2,753.3282
598.0,598.3277
574.4,567.49335
502.2,541.58746
679.0,710.38153
679.0,682.85046
482.02,535.74066
356.9,366.71448
511.749,460.66153
651.0,648.1638
718.0,722.65424
790.0,794.88336
586.78,600.9317
623.8,649.56384
770.0,833.7423
317.45,357.20938
840.0,783.1526
685.7,649.5356
732.0,725.60785
628.0,631.2591
730.0,761.64825
678.5,710.38165
384.97,414.13956
651.0,674.5419
624.0,560.9737
562.032,485.76544
789.9,797.0219
707.0,698.0164
618.0,623.6371
454.9,460.33832
665.0,660.61273
850.0,859.1247
418.6,430.13443
530.0,543.09576
304.1467,343.99725
620.2,588.98627
448.9,493.80243
836.0,780.1453
714.0,744.47205
400.31,450.25577
451.65,443.81958
500.0,491.71948
594.0,576.0612
456.6,395.42548
406.814,417.94595
575.3,569.12177
711.1,737.1297
573.5,568.60223
702.0,722.804
302.98,317.0148
687.64,643.045
397.0,391.25632
510.2,506.06836
549.0,536.2935
134.35,153.27211
784.0,781.97754
373.05,358.33997
607.0,573.37897
671.8,694.6251
682.0,705.96295
803.1,781.2446
386.449,408.46338
561.5,541.7985
518.0,514.99426
453.0,463.2084
428.0,431.47913
772.0,733.1308
547.76,578.05585
685.0,709.7005
641.39,673.49054
792.0,831.1879
544.1,545.6285
510.0,481.19818
549.9,582.537
403.41,406.18106
560.3,526.69025
44.4,51.271557
812.0,871.50964
667.95,628.4705
544.2,516.40643
703.04,712.01746
684.0,655.80005
849.0,852.4731
709.0,709.06244
625.0,649.18134
401.5,451.45697
558.9,549.56433
377.1,337.39044
437.7,445.27264
632.0,564.06964
632.0,653.9328
448.61,497.2641
576.7,606.12384
401.9,387.14813
673.0,602.88086
532.5,506.32068
374.126,385.53265
376.65,371.78314
608.0,644.7674
755.8,767.11053
778.0,820.7405
858.0,951.46466
524.0,517.4593
626.0,639.2816
699.0,715.2911
652.13,672.87885
535.62,564.78723
604.0,595.87555
449.2,449.5291
345.868,369.46335
678.5,707.8144
726.0,783.1905
530.9,511.8169
718.0,711.8166
775.0,796.5954
748.0,777.7238
683.75,625.2515
369.262,386.88898
777.8,783.40814
559.6,586.80585
670.0,674.33746
683.0,822.96515
490.7,524.4814
538.2,563.9987
679.0,649.587
820.0,851.60004
653.0,658.89484
720.0,727.20996
653.0,665.6353
616.94,617.63446
497.88,526.98364
480.91,541.94135
591.8,590.5201
460.9,411.18475
463.89,446.4674
571.1,556.12964
561.2,555.51807
893.0,1029.534
594.557,608.3413
435.7,433.10748
462.99,452.26025
528.0,570.746
498.22,512.74677
775.0,738.76404
621.6,631.9996
144.0,226.16626
698.0,712.9394
593.7,583.37695
433.3,437.8187
808.0,814.6858
623.0,672.3951
675.0,663.9367
359.4,382.69208
520.4,554.3039
411.98,388.2605
647.0,633.5793
578.1,566.7821
553.08,533.007
698.77,734.42145
535.2,502.85562
368.9,399.83978
653.4,640.5849
612.0,666.5701
647.05,646.8768
500.21,492.36377
716.0,736.9977
504.58,531.1141
560.4,567.8654
768.0,783.5257
504.0,509.78534
561.44,551.1543
897.0,1001.46344
855.0,854.43866
719.5,736.3396
532.7,529.346
431.23,477.557
770.0,775.02423
840.0,835.8652
646.0,683.29645
763.0,802.39105
864.0,864.7739
478.1,444.26974
379.5,342.9821
680.9,710.5429
523.1,512.5551
581.5,624.16034
698.8,615.6867
584.4,631.1711
563.6,577.3221
668.0,693.7387
540.6,558.8238
491.3,479.8931
490.2,497.80615
629.0,639.69305
592.1,597.8659
640.2,650.8913
459.59,454.03094
614.0,602.00104
517.75,541.8743
647.0,650.8723
553.4,516.161
632.0,657.92883
742.0,774.1408
567.5,545.514
602.0,591.64984
634.7,635.0057
692.0,689.8586
574.88,604.36505
646.0,652.6882
398.07,377.93414
708.0,736.48895
415.76,389.05783
543.82,565.39844
641.0,633.11163
787.0,882.7515
487.6,473.6505
546.1,561.7219
623.8,651.1505
708.0,715.5009
830.0,831.4703
571.2,554.93585
836.0,835.4129
485.1,449.03107
716.4,664.75287
749.0,760.54315
542.0,591.8565
618.3,616.52264
686.0,712.6981
539.67,559.4747
668.0,677.232
899.0,895.25726
736.0,800.9367
312.09,304.128
540.75,540.9228
649.0,667.9014
640.4,645.1685
668.59,685.67236
559.5,580.1108
421.75,439.44116
518.6,527.3278
695.0,735.3444
536.9,515.82806
811.0,802.06
215.2,305.40787
150.71,162.19853
305.352,394.15826
475.0,490.38135
562.98,561.12
534.65,524.2393
532.757,547.9935
708.0,701.6834
693.7,726.1237
701.0,687.84247
767.0,827.482
590.5,600.78345
627.8,660.79285
680.0,668.0362
428.61,448.25772
579.41,603.4074
808.0,809.08466
