true_temp,pred_temp
537.471,516.88873
640.0,604.1963
365.0,367.4036
919.0,955.9522
598.0,582.33826
568.9,576.99493
728.0,759.2382
723.2,715.8848
904.0,927.7297
536.4,552.7507
505.35,552.77844
660.0,657.06055
328.04,345.44458
438.848,413.23026
549.95,574.54846
637.3,622.38745
664.1,630.6553
779.0,753.6387
126.1931,157.76173
623.0,632.0684
707.0,681.3414
594.0,612.10254
528.7,511.18445
798.0,805.9956
702.0,674.203
437.84,499.79
778.0,821.8937
594.37,595.562
657.0,621.3795
487.0,508.97324
673.0,651.66455
592.0,598.72955
694.0,723.8227
647.23,649.97363
693.0,712.65466
496.3,522.14703
783.1,767.42413
664.1,686.63245
471.17,452.6631
611.7,601.5928
617.1,612.37134
706.0,692.9795
584.1,612.5311
521.0,537.23676
467.8,417.47076
423.27,444.79092
473.0,442.92014
812.0,840.896
479.1,503.8388
543.0,566.05286
708.2,752.82306
598.0,606.8004
574.4,585.39966
502.2,528.32074
679.0,713.75305
679.0,679.4702
482.02,541.28564
356.9,351.97513
511.749,455.2178
651.0,635.0967
718.0,723.53674
790.0,807.65656
586.78,613.19324
623.8,658.7671
770.0,816.2436
317.45,355.7886
840.0,768.33374
685.7,653.39417
732.0,724.1955
628.0,620.5583
730.0,765.74146
678.5,713.75305
384.97,395.1531
651.0,690.2822
624.0,570.4133
562.032,487.72156
789.9,823.8859
707.0,715.6233
618.0,629.7203
454.9,466.58264
665.0,663.60443
850.0,809.52106
418.6,408.7555
530.0,496.47855
304.1467,336.12027
620.2,626.9661
448.9,490.34406
836.0,782.75977
714.0,765.29156
400.31,451.1496
451.65,434.68588
500.0,488.20276
594.0,590.42004
456.6,404.2225
406.814,424.44296
575.3,610.1426
711.1,737.9072
573.5,573.17474
702.0,729.53735
302.98,328.8431
687.64,656.1083
397.0,309.07416
510.2,504.40073
549.0,511.24283
134.35,146.74422
784.0,796.21063
373.05,394.19907
607.0,567.84503
671.8,698.62976
682.0,719.2363
803.1,781.8285
386.449,431.89566
561.5,559.767
518.0,496.92645
453.0,424.06985
428.0,413.92596
772.0,710.5978
547.76,587.47864
685.0,685.83044
641.39,678.85706
792.0,842.8768
544.1,577.1558
510.0,512.9096
549.9,580.70886
403.41,400.82535
560.3,525.49524
44.4,53.604774
812.0,854.9131
667.95,644.2905
544.2,510.60956
703.04,709.8741
684.0,697.56665
849.0,894.2053
709.0,709.4835
625.0,649.25275
401.5,415.06473
558.9,588.0334
377.1,329.2305
437.7,451.54398
632.0,606.9335
632.0,667.57056
