critical_temp,predicted_temp
801.0,817.6486
583.09,581.28656
767.0,793.7414
317.45,314.55075
564.32,506.87756
423.27,445.44168
682.0,700.3364
324.674,369.02036
453.5,476.12418
668.0,670.9039
374.126,386.28735
645.0,705.3236
830.0,832.47034
435.7,446.08313
740.0,745.443
540.75,535.01294
597.6,602.4225
569.4,574.79724
870.0,869.26996
643.0,629.84564
777.0,783.75586
637.0,631.42487
497.8,479.98044
685.0,703.3579
633.9,637.59106
579.41,580.8951
348.82,358.38486
615.0,628.59393
635.0,648.76447
579.8,580.19714
544.2,559.8172
462.03,447.55392
667.95,701.55005
734.0,709.4854
511.749,439.4532
459.59,466.48898
518.15,511.06183
503.26,513.2087
770.0,787.3332
508.09,492.95618
766.0,774.69586
825.0,783.6871
575.6,575.7011
599.4,546.24133
663.1,664.1254
289.749,311.5393
585.4,568.6091
574.4,579.54535
448.61,464.162
592.0,579.2168
562.98,556.6378
602.0,595.14264
668.0,672.0453
563.4,557.3752
974.0,998.5513
752.0,780.79456
519.19,547.09314
560.4,561.0291
611.0,603.0591
574.0,571.97894
518.77,470.57022
766.89,781.803
38.34,63.38114
658.23,651.54205
628.0,624.3229
530.0,502.65347
541.8,560.7445
507.549,517.5906
723.0,744.1015
661.1,668.148
318.7088,319.85648
604.0,621.4086
862.0,952.8485
368.9,375.40726
455.1,456.50616
578.2,581.99866
638.28,635.8689
647.9,647.09265
673.0,677.95593
364.0,383.251
814.0,816.09784
604.0,633.23206
418.6,412.78912
694.0,689.6357
475.0,503.8091
554.0,523.9905
575.4,584.0123
478.58,498.8497
612.0,634.40924
498.57,532.31525
497.7,532.5723
538.2,542.4885
272.0,274.75244
675.0,666.79846
533.6,552.2815
530.7,537.5584
718.0,738.64465
271.1,283.24927
712.0,714.7748
594.37,590.42804
504.35,499.01437
618.7,637.3463
798.0,840.70917
675.1,683.45844
638.85,636.5737
410.6,415.02014
663.23,670.896
415.76,409.37323
339.173,341.35226
459.0,449.41397
450.0,440.64532
561.15,520.47534
680.0,654.7058
605.0,601.69275
309.57,314.45337
485.94,454.1609
653.0,633.61945
743.0,757.9877
442.6,454.53073
654.3,660.6356
614.6,616.4661
396.467,350.7303
632.0,627.3737
573.9,536.44855
312.09,331.55994
697.0,699.79956
635.0,624.7923
516.7,513.2967
424.73,433.37994
843.0,864.0522
627.0,696.71643
772.0,797.5678
592.6,576.70917
491.03,520.05133
375.26,377.06512
474.93,486.38358
44.4,54.286587
670.0,663.70593
282.348,280.67767
785.0,912.03534
649.11,654.0682
588.0,585.8745
451.43,433.61658
708.0,713.1656
382.515,391.1264
653.1,633.2621
708.0,731.81287
640.27,660.4162
841.0,834.1082
513.98,499.42087
850.0,842.43506
395.425,405.19785
505.1,465.17307
728.0,736.1522
897.0,888.0164
606.0,588.6332
695.19,715.06244
520.4,495.79898
629.0,630.6272
540.0,527.0609
719.5,718.40485
625.1,640.90546
581.8,583.2262
683.0,637.92926
701.4,705.3236
270.0,268.14594
592.0,597.6786
623.8,638.7631
646.0,643.82983
417.99,429.64273
647.0,603.46936
594.0,597.5445
620.1,629.1901
430.62,424.481
543.82,548.4872
498.97,507.3173
189.2,155.21451
573.5,556.6527
678.5,683.1163
587.0,567.7798
626.8,640.813
623.0,607.26984
608.5,613.617
463.89,441.00333
647.2,668.87415
656.0,665.6518
516.0,529.0535
647.02,655.5789
447.0,429.46585
739.0,727.5271
694.0,699.67126
968.0,961.02264
534.65,524.96356
569.8,567.6303
425.3,466.94592
304.1467,350.86624
601.1,573.63116
459.9,441.59714
576.0,591.8092
702.0,706.19556
563.6,567.3705
662.0,662.1539
647.2,701.3268
456.6,395.19437
428.0,430.62762
451.65,457.19202
509.7,526.5835
537.2,539.85913
615.9,625.7466
259.0,264.60574
425.0,415.8796
645.1,655.87354
323.5,331.76636
609.0,615.54254
215.2,278.2793
557.8,539.4221
604.4,608.8479
593.8,599.10895
808.0,800.6196
361.85,341.90137
858.0,899.3339
562.032,520.09564
620.2,642.6429
716.4,703.49603
817.0,818.00024
536.13,555.90405
882.0,907.71826
563.0,587.7702
356.9,347.89142
617.1,605.52655
599.0,593.9721
632.39,613.6039
709.51,692.897
695.0,744.8919
692.0,714.56555
607.0,602.48267
487.46,480.2375
751.0,751.77594
716.0,723.8663
690.0,656.636
831.0,810.2717
779.0,762.62305
477.4,490.06537
697.0,693.27466
388.45,368.11722
603.9,596.8205
532.0,540.9049
475.5,482.56503
727.0,730.8062
301.884,334.46146
710.0,707.2338
594.0,597.7821
309.4,316.04697
500.0,481.54736
785.0,808.91833
787.0,789.8191
369.873,389.09445
824.0,821.1948
154.62,228.78305
624.0,591.0241
708.0,720.0309
652.98,661.9426
598.0,577.93915
372.05,351.07666
698.77,689.7922
672.0,687.7873
519.8,523.9447
707.0,681.0752
662.0,675.8796
497.88,509.41583
669.6,671.3188
652.0,653.8887
506.13,502.56232
687.26,683.9261
611.7,600.58856
763.0,770.3424
658.0,663.219
668.0,665.05273
551.1,549.9147
664.1,651.07294
672.2,658.4338
690.0,682.53656
512.77,518.1091
775.0,775.7495
685.0,682.32385
777.8,774.10706
437.45,433.4969
555.8,556.68677
831.0,821.0027
444.88,442.57574
845.0,894.0078
772.0,796.5906
575.3,592.0774
594.099,604.7913
548.5,541.9116
529.49,519.0756
362.32,381.3371
760.0,768.46716
437.84,472.98914
723.0,744.7374
627.8,642.1596
475.0,468.37604
698.8,649.1052
694.25,716.0921
682.0,680.5473
888.0,869.8441
609.2,632.94995
498.2,475.8958
653.0,660.0308
476.2,497.00235
588.0,587.619
675.74,666.5172
637.3,631.6269
531.09,541.79517
433.75,450.97272
811.0,807.9372
551.0,577.77344
394.0,399.62378
467.73,508.7576
539.2,526.97534
311.1,279.2029
789.1,702.2727
586.11,625.8902
475.0,467.6207
487.0,488.9032
766.0,742.4814
323.55,310.64102
481.54,512.96234
539.88,560.3161
773.0,778.9297
482.02,509.4238
705.0,763.4308
618.0,624.31805
582.9,594.936
666.11,670.10736
849.0,844.4297
510.0,503.359
545.42,531.2289
568.837,570.7379
665.0,672.0991
695.0,699.67126
472.25,480.27966
293.022,302.14304
623.0,585.0544
798.0,871.73096
855.0,843.3117
685.0,685.8773
616.18,628.2776
709.0,730.69476
548.62,530.3421
674.2,672.5163
451.85,418.78903
536.9,526.4549
513.4,515.4554
523.95,496.2507
404.9,405.37622
631.2,635.7469
575.0,601.2824
859.0,923.96515
693.7,698.0845
772.0,751.70703
505.35,535.1617
723.8,728.0335
490.2,489.96695
598.0,599.63354
687.0,682.5371
260.0,256.28183
721.7,681.6649
687.8,691.22034
531.1,543.7688
538.0,552.9789
740.8,750.8519
769.0,763.2843
785.0,789.7127
486.98,457.9508
676.0,667.4689
541.0,532.6717
660.1,682.9182
476.31,441.49854
487.6,472.5366
648.0,655.13885
639.25,642.0804
561.5,593.37964
633.8,643.17505
702.0,683.00836
568.9,578.2449
569.5,573.91693
565.4,560.6127
650.0,651.1343
753.0,746.8885
586.78,602.4705
471.8,457.06784
585.88,591.7706
306.9,325.97775
552.5,565.0824
836.0,834.4429
667.25,681.076
518.6,524.5697
584.0,581.5667
718.0,720.5161
361.95,362.69302
703.0,729.19055
558.9,582.9035
556.349,559.0967
795.6,742.58014
572.275,589.86285
684.0,692.3695
749.0,772.7535
772.0,794.3848
757.0,758.9349
3.3,4.2009926
144.0,191.4166
778.0,779.1503
302.98,337.88217
513.9,521.4425
345.048,336.0297
592.3,583.6602
372.29,341.74435
679.0,684.696
566.3,572.9492
545.5,565.61426
591.8,588.30475
493.2,512.9864
693.0,656.9468
540.6,535.1355
582.46,586.6329
560.3,568.74164
719.0,718.7382
763.0,787.4739
560.6,532.19836
448.98,480.4418
543.0,547.1552
790.0,815.01746
126.1931,149.02696
548.4,555.3937
345.868,327.7809
836.0,827.21906
837.0,860.25214
308.52,312.67386
209.425,215.74295
728.0,743.009
405.399,417.19608
421.68,405.48798
561.0,567.74036
535.2,535.009
373.42,415.74847
410.14,428.06042
430.63,426.8713
737.0,760.1997
716.0,720.4268
687.64,701.14685
571.1,569.87787
661.1,683.99756
401.9,399.35175
651.0,662.63934
570.1,551.14606
500.7,516.2096
496.4,436.55237
817.0,820.20374
842.0,849.0769
757.7,737.7866
482.3,452.50095
677.0,698.7984
584.4,600.32947
716.0,703.79364
501.08,485.87094
546.1,561.5692
653.0,670.2508
750.0,667.23785
536.3,534.8861
416.266,396.102
664.43,666.98254
692.0,675.9396
735.7,726.42993
602.0,602.8058
496.3,507.94922
594.5,587.9103
407.79,420.28314
530.63,544.4114
401.5,385.59183
623.5,632.7859
419.33,469.29742
703.9,686.7069
416.89,411.0429
526.0,502.6534
740.0,746.1618
553.4,515.142
620.0,621.86707
532.0,556.61957
453.0,417.33246
743.0,743.8355
387.76,394.0939
712.0,713.0584
732.0,754.6047
559.5,555.9122
785.6,783.8967
882.0,866.00183
694.0,731.8321
810.0,777.10614
708.0,723.7712
353.0,353.70734
667.0,649.5957
466.8,493.72073
710.0,714.6465
457.19,428.68204
647.1,741.3141
368.07,343.49594
699.15,706.03015
509.0,514.5894
380.11,354.62997
495.8,488.23047
778.0,767.1942
433.02,415.44098
460.2,446.043
376.8,363.10446
778.0,834.67816
682.0,669.75
603.0,597.58923
561.5,584.732
668.59,670.6217
844.0,879.02924
686.0,717.5653
581.5,590.81793
700.0,690.6158
621.0,632.51447
190.551,208.3683
410.3,393.73108
506.56,516.9498
523.31,539.2846
576.7,592.8996
708.0,710.14307
684.8,701.20197
827.0,831.5634
732.0,728.85675
647.317,592.6511
755.0,734.95123
752.0,775.1923
602.7,606.69507
532.5,504.157
359.0,364.2163
815.0,751.76715
632.0,607.83215
372.35,364.14743
453.0,448.2734
645.88,654.43634
549.9,566.31506
672.0,654.38025
736.0,746.7698
603.5,601.15125
558.0,532.03516
689.0,694.33923
603.7,625.71893
611.0,622.0208
391.752,406.39136
504.58,510.22897
563.4,558.9763
726.0,748.8054
510.2,495.80142
384.97,401.99976
593.5,612.7788
438.848,430.05115
708.2,743.6992
500.2,506.05548
447.57,445.85043
653.0,659.42786
591.2,600.918
618.3,611.3148
669.1,685.0104
589.0,622.67633
540.16,544.1628
685.7,682.34467
574.57,564.8965
561.11,540.0575
783.1,803.5655
640.4,638.22
651.0,653.9584
521.0,534.40796
431.4,443.85434
684.9,698.2697
570.0,584.59766
546.19,555.571
670.9,657.36523
660.42,645.12604
400.31,404.66803
536.4,528.9492
425.139,463.41705
540.0,543.8487
390.85,392.34546
692.43,681.49384
632.69,636.0511
727.0,714.1268
708.0,714.6465
775.0,781.36926
607.5,602.2429
454.9,462.89282
649.31,655.6528
644.16,664.4541
640.0,645.43085
784.0,782.8472
803.1,818.5983
502.88,468.79556
682.0,678.3104
718.0,695.9
742.0,750.5714
509.1,526.7344
748.0,768.45483
813.0,845.8324
454.4,441.55264
588.0,583.2225
634.7,622.7265
540.5,554.6428
594.557,597.3226
542.4,513.00183
536.6,540.0251
786.0,789.5296
400.6,422.96313
581.4,589.1641
697.43,688.4707
619.0,611.4611
437.7,428.08456
520.4,529.2501
537.471,552.70715
776.0,787.4697
473.0,464.9789
836.0,824.4216
661.0,669.72363
646.0,657.8504
307.6,319.9728
399.6,371.73605
760.0,781.74097
926.0,928.29846
511.0,541.8752
886.0,881.53644
691.0,708.69434
627.1,637.2998
782.0,798.3193
736.0,763.7842
770.0,810.7518
617.43,570.3481
639.66,664.56146
660.2,662.1849
711.0,705.6455
500.21,502.25717
618.0,597.6519
498.75,486.42023
504.0,526.1463
763.0,763.1187
610.3,601.2829
593.0,592.8641
560.0,563.12445
702.0,703.4905
706.0,708.7726
824.0,794.28156
561.2,580.90137
647.0,636.8592
491.3,512.99786
530.37,541.772
623.8,646.7082
540.0,546.2906
899.0,892.2409
667.0,671.92584
518.0,527.2695
550.8,563.6199
586.03,593.3906
1037.0,1018.46173
403.41,411.24014
687.0,690.5634
543.4,540.6609
619.0,623.1709
438.99,434.9585
357.24,353.00693
721.0,715.5082
477.6,455.79703
746.0,776.2894
835.0,844.4226
647.23,682.327
411.98,410.6698
524.0,476.70538
830.0,877.4503
456.49,456.62427
551.0,547.686
718.0,681.9334
699.0,702.1046
893.0,898.2711
944.0,894.82214
379.5,384.51974
820.0,847.8261
536.76,546.04834
717.0,721.17365
653.4,659.3105
150.71,158.26164
799.7,799.95795
919.0,915.27356
836.0,875.65686
461.6,469.35806
528.0,529.9661
669.0,665.30023
584.4,615.9363
566.72,579.2748
599.1,596.27124
812.0,842.64526
369.262,393.08606
561.44,542.84515
709.0,690.8717
561.0,549.1029
709.8,699.9193
655.45,653.9678
412.378,411.88376
575.55,581.2582
567.0,555.1488
597.0,588.62305
734.0,753.62
449.2,429.51743
381.2,371.1545
486.48,493.3359
480.91,476.07764
578.1,567.9356
644.79,638.3214
790.0,794.6732
507.0,498.5811
904.0,892.55884
373.05,388.9605
783.0,806.67633
678.5,684.696
565.11,518.50867
515.5,508.86618
662.9,669.85187
681.2,669.80426
566.0,572.82214
772.6,720.5478
650.9,615.27216
617.633,620.447
671.8,676.245
641.0,632.8954
591.7,594.325
692.0,686.64624
638.0,613.3566
463.0,439.19144
612.0,615.79865
397.0,399.45303
621.2,640.2047
755.0,782.7791
561.5,565.5778
479.1,487.50162
444.471,451.18115
646.0,645.585
405.45,409.3264
714.9,724.5975
712.0,733.82794
517.75,511.6174
461.1,411.12985
376.65,397.4813
670.0,668.87714
507.1,477.4362
549.73,558.51105
616.77,620.9097
674.4,676.8696
654.8,657.3321
456.89,471.11578
586.0,582.7814
609.1,606.23285
448.9,446.6449
516.21,504.98172
800.0,839.5368
646.0,657.1278
551.0,560.9117
431.23,452.0461
646.5,662.0215
680.9,684.8244
656.0,690.6786
720.1,785.55365
628.45,640.1709
621.5,617.3562
687.3,705.3236
701.0,705.5374
656.5,666.53656
462.99,479.45813
725.0,729.7517
299.0079,328.98587
428.61,449.11157
537.27,530.2423
629.1,629.5549
730.0,745.25586
884.0,921.0843
616.94,624.6869
586.3,606.4008
956.0,941.61847
605.0,625.66327
428.75,439.35306
359.4,336.1069
509.3,497.35358
567.5,587.3055
569.45,548.9604
467.8,450.8708
471.17,469.53806
475.74,469.24564
868.0,931.31757
5.2014,4.2009926
711.14,693.185
540.14,508.76868
576.0,600.91675
305.352,323.928
560.06,557.355
626.0,625.02277
728.0,723.70624
632.0,644.6104
421.81,398.35483
476.55,476.16254
840.0,844.73676
574.88,559.781
755.0,711.8071
612.5,614.5618
351.279,324.99496
838.0,819.4548
973.0,955.61786
421.75,427.16394
398.07,386.30307
652.13,661.27527
498.22,477.4362
553.08,563.6805
553.6,571.20844
653.0,646.13806
723.0,729.62335
627.7,640.3502
587.0,561.97876
377.5,401.21204
720.0,730.5293
632.0,605.0843
506.16,485.41397
502.2,507.45917
747.6,740.073
516.5,556.811
438.4,430.84167
566.3,550.5923
679.0,667.5597
528.7,551.70764
613.1,623.43854
864.0,863.76074
553.0,563.77704
412.35,360.7706
460.9,393.9298
643.7,654.8837
580.0,569.57874
602.0,603.94836
631.0,619.7309
640.2,646.125
328.04,357.06726
607.55,590.854
658.0,657.5481
555.0,550.8633
395.4,369.92114
511.6,508.6173
601.0,642.5121
547.76,572.02686
616.0,637.287
386.35,367.19226
648.0,655.93567
792.0,820.4713
639.66,650.0902
723.2,737.19495
830.0,824.0497
742.0,752.14575
651.0,645.82526
482.5,469.55463
450.0,429.51743
377.922,402.6148
701.0,725.65106
587.8,590.88104
694.0,702.04956
811.0,879.2435
512.618,478.93848
685.0,674.7111
609.6,620.2676
386.449,387.87866
803.0,830.26086
576.5,562.1012
673.0,693.7216
478.1,470.3485
418.78,420.5758
851.0,805.36774
764.0,772.66565
755.8,751.67865
925.0,926.2937
579.45,578.84186
331.73,336.67694
549.95,560.28406
460.45,485.32516
602.2,603.0775
719.4,713.8781
528.0,553.94525
757.0,758.8142
665.9,664.731
714.0,723.9473
626.0,625.19495
701.0,700.8526
570.92,584.97675
427.12,416.51712
604.2,614.0356
431.95,421.38498
476.8,476.17703
589.5,589.51
606.1,609.5227
521.8,499.8311
591.86,591.7767
523.48,518.8262
864.0,858.25287
553.418,526.7444
227.5,266.98096
883.0,905.0577
391.7,379.92917
519.0,516.7825
562.0,557.206
625.0,642.8885
464.1,460.04532
535.2,529.7565
572.04,596.05994
763.0,791.9799
583.5,597.73175
683.75,691.8457
464.78,499.71375
586.5,529.5419
703.04,698.9013
599.6,607.54175
325.4,345.91602
590.5,586.52997
730.0,736.47644
779.0,748.8471
662.0,667.2502
596.3,593.62836
748.35,734.6204
665.0,659.7182
631.0,755.48456
572.0,586.9002
616.06,632.4374
550.0,557.223
706.91,696.47253
490.7,510.51578
546.49,544.68115
629.8,640.68463
725.0,725.08496
260.94,262.34714
542.8,541.04565
616.0,639.93756
377.1,357.60867
561.17,564.9548
840.0,819.13995
643.89,586.603
692.3,687.8431
763.0,785.70703
789.9,792.36005
771.0,773.2141
651.0,649.88116
767.0,769.37317
469.87,453.8179
454.57,429.51743
760.9,744.83307
715.5,714.0167
692.0,690.6835
778.0,783.0784
768.0,772.92004'SMILEs', 
675.0,687.07446
780.0,779.5297
585.0,588.0119
340.08,363.0893
607.29,593.62836
412.8,397.5681
610.1,619.9751
499.51,511.638
819.0,812.3128
618.0,622.12665
451.56,477.16006
605.9,602.0005
705.67,702.43805
509.0,498.67343
662.0,651.641
530.9,533.03046
666.0,681.07605
603.19,591.7706
595.8,574.35645
497.07,480.6285
535.773,527.3588
556.9,558.8372
420.26,413.28387
571.2,553.5587
433.3,417.61914
779.0,802.9701
542.0,570.126
630.56,637.30505
536.6,534.8924
544.1,556.00836
607.5,579.54956
703.0,710.00635
566.0,581.33606
674.4,683.164
705.0,723.66956
523.78,490.19986
647.05,649.4801
553.5,558.914
578.0,583.61206
699.0,714.82745
786.0,771.9833
354.48,376.05963
614.0,606.728
463.0,432.2463
780.0,783.0675
663.72,670.8422
598.5,583.2103
632.7,646.30707
731.0,734.17816
794.0,850.0461
675.0,668.9558
608.0,576.4993
711.1,717.026
651.5,653.98755
726.7,724.0336
435.0,405.10928
599.0,580.1434
559.6,580.9034
514.3,531.5657
523.1,525.94604
443.9,425.9053
363.68,397.84875
508.27,508.97208
367.86,372.46317
468.0,462.67728
485.1,500.55917
679.0,679.742
593.3,611.42236
698.0,717.7136
609.5,609.0211
707.0,712.7291
365.0,374.43668
