critical_temp,predicted_temp
736.0,744.49084
610.3,649.3798
658.0,663.7725
531.09,567.10736
592.6,587.155
703.9,690.2257
289.749,304.8677
780.0,782.5905
620.1,626.1939
623.0,665.12634
830.0,834.69415
272.0,262.18433
474.93,497.7833
712.0,715.5831
536.4,567.0699
615.2,650.86237
794.0,798.4878
540.16,566.4839
438.99,415.6017
685.0,699.51337
150.71,163.68694
592.0,593.24316
580.0,613.1886
763.0,748.98236
653.1,625.1641
311.1,331.17172
648.0,654.0533
610.4,616.8807
377.5,381.24707
625.0,639.0092
582.46,592.9787
569.5,602.83246
757.0,763.32855
363.68,439.5746
785.0,797.9543
555.0,575.2325
602.6,611.6071
507.549,545.2952
521.0,527.194
551.0,588.87506
787.0,759.1611
720.1,740.2521
726.9,682.4158
487.6,493.70987
372.05,396.91296
438.848,462.35022
766.0,747.3789
639.66,605.1136
698.77,667.9992
697.43,679.4637
616.18,625.0657
627.8,661.2116
308.52,369.2483
803.1,819.9897
842.0,859.7434
497.7,510.53452
630.56,624.4574
674.0,704.638
521.0,532.20667
665.0,686.3945
663.1,722.7002
695.19,710.9784
504.35,529.4172
647.02,643.947
455.1,466.60406
716.0,738.94415
451.56,466.64496
571.2,562.34204
616.0,634.1501
723.0,759.31305
561.5,541.7048
562.98,575.3902
538.0,590.32733
480.91,500.01447
384.97,429.49557
893.0,849.10944
518.0,533.2817
462.99,489.85535
323.5,373.2526
507.0,526.41144
768.0,775.7173
523.78,503.32483
778.0,805.90393
770.0,779.4634
437.45,455.5107
651.5,655.3691
405.45,378.16776
772.0,781.5431
607.5,614.4466
701.0,714.4143
899.0,891.4942
428.95,438.88293
549.95,574.0771
766.0,756.0052
748.0,758.435
471.17,496.23303
635.0,634.80786
418.6,447.70865
535.62,573.58307
579.45,606.99744
516.7,515.99475
897.0,954.67523
323.55,340.88498
830.0,812.8385
859.0,893.0365
530.0,554.09
505.1,481.88513
609.0,636.1106
673.0,665.0983
528.0,592.4093
3.3,9.447134
820.0,859.1898
670.0,688.62
634.4,667.8363
594.37,602.11444
373.42,412.736
550.0,562.92804
454.4,414.76138
777.8,776.545
523.1,552.02954
354.48,400.4327
475.14,456.9164
594.5,604.03156
537.27,551.92505
850.0,830.0146
720.0,756.05743
706.0,694.2321
638.0,627.9939
653.0,651.2288
407.79,451.6886
685.0,721.26337
460.45,521.41296
654.3,684.8109
655.0,675.83044
448.9,462.797
782.0,771.40814
660.42,650.7196
708.0,727.63025
675.74,678.6822
301.884,362.78674
714.9,692.3073
598.0,595.326
844.0,860.2494
508.09,506.11877
557.8,596.76276
674.2,680.76715
640.2,657.3278
613.1,624.8508
611.0,624.4149
711.1,738.25653
618.0,651.2738
592.3,589.3692
491.3,509.98416
428.61,471.96118
647.0,672.5748
535.2,515.5598
604.0,625.87506
632.0,662.0588
851.0,789.48956
460.9,427.2737
356.9,366.0542
652.98,643.6674
519.19,547.61096
424.73,423.68387
421.81,404.39685
361.85,410.59198
855.0,857.6883
811.0,796.31055
614.6,635.7747
144.0,209.58249
462.03,445.09457
777.0,824.2431
553.0,595.0829
560.6,556.1573
749.0,728.5911
631.0,678.97314
514.3,560.2286
605.0,625.31036
886.0,839.4146
682.0,692.5241
703.04,706.3324
868.0,894.1212
763.0,761.4701
