true_temp,pred_temp
537.471,532.3856
640.0,651.4352
365.0,368.5003
919.0,986.3169
598.0,545.26013
568.9,546.6633
728.0,729.9448
723.2,717.6483
904.0,955.63824
536.4,556.62463
505.35,545.48846
660.0,648.07764
328.04,345.83002
438.848,408.09674
549.95,593.98804
637.3,599.07294
664.1,676.07166
779.0,833.2318
126.1931,182.2308
623.0,597.6114
707.0,674.6582
594.0,588.7688
528.7,523.80396
798.0,793.27
702.0,677.44135
437.84,500.7575
778.0,803.1395
594.37,563.6109
657.0,673.78015
487.0,496.55362
673.0,656.0504
592.0,588.2866
694.0,702.0503
647.23,719.35767
693.0,665.16046
496.3,462.92715
783.1,837.5699
664.1,662.0283
471.17,457.24026
611.7,573.5231
617.1,603.52405
706.0,690.1391
584.1,609.34265
521.0,511.98767
467.8,410.33267
423.27,387.30142
473.0,461.9345
812.0,835.94525
479.1,481.00018
543.0,559.3728
708.2,729.17755
598.0,586.0099
574.4,574.27594
502.2,520.2417
679.0,681.35583
679.0,640.9542
482.02,528.1735
356.9,377.97913
511.749,487.58807
651.0,657.68976
718.0,691.876
790.0,780.308
586.78,577.8946
623.8,620.6642
770.0,791.3217
317.45,340.52252
840.0,734.6304
685.7,651.4468
732.0,726.29553
628.0,618.94574
730.0,743.0891
678.5,681.35583
384.97,411.2317
651.0,655.50366
624.0,608.4198
562.032,498.94537
789.9,813.2311
707.0,704.1899
618.0,602.5773
454.9,475.2453
665.0,621.27747
850.0,730.8404
418.6,425.1527
530.0,573.36206
304.1467,332.40482
620.2,567.4551
448.9,469.7525
836.0,781.35925
714.0,733.068
400.31,431.3086
451.65,423.50034
500.0,544.39636
594.0,566.1583
456.6,382.40973
406.814,427.93848
575.3,584.83374
711.1,716.07947
573.5,580.15985
702.0,697.7058
302.98,336.383
687.64,646.17114
397.0,347.35742
510.2,465.15445
549.0,516.0074
134.35,155.4022
784.0,778.4206
373.05,346.02075
607.0,597.3366
671.8,660.0033
682.0,691.56696
803.1,854.7223
386.449,432.07773
561.5,590.3797
518.0,513.5631
453.0,446.67792
428.0,413.6317
772.0,727.4509
547.76,592.67676
685.0,671.7477
641.39,641.3529
792.0,814.88513
544.1,529.2673
510.0,476.5495
549.9,568.80493
403.41,390.647
560.3,563.1256
44.4,69.59009
812.0,825.4551
667.95,652.28723
544.2,494.90115
703.04,679.925
684.0,763.27905
849.0,891.5382
709.0,706.12524
625.0,615.89355
401.5,417.8555
558.9,519.17004
377.1,327.90186
437.7,448.50656
