true_temp,pred_temp
537.471,505.5167
640.0,607.3536
365.0,318.13095
919.0,879.0038
598.0,549.2206
568.9,528.8124
728.0,689.6148
723.2,673.0926
904.0,863.4851
536.4,498.80798
505.35,483.8241
660.0,606.90173
328.04,290.56256
438.848,411.67075
549.95,510.58612
637.3,615.14703
664.1,613.4083
779.0,741.98517
126.1931,112.5398
623.0,577.8482
707.0,648.152
594.0,556.43
528.7,494.3177
798.0,764.22046
702.0,675.0759
437.84,417.07193
778.0,740.01135
594.37,530.3718
657.0,625.60315
487.0,442.64096
673.0,638.41315
592.0,537.799
694.0,651.9583
647.23,607.14197
693.0,667.9007
496.3,455.00317
783.1,758.73505
664.1,630.86725
471.17,424.4821
611.7,576.2806
617.1,579.01556
706.0,662.19904
584.1,548.47473
521.0,493.82498
467.8,434.80896
423.27,384.64594
473.0,437.78207
812.0,771.4222
479.1,435.07074
543.0,508.42633
708.2,687.8809
598.0,546.3476
574.4,535.4826
502.2,466.81473
679.0,641.61926
679.0,644.52826
482.02,471.78326
356.9,337.49756
511.749,403.99857
651.0,619.3455
718.0,687.8771
790.0,762.4668
586.78,549.452
623.8,587.5081
770.0,725.9086
317.45,242.87015
840.0,787.0364
685.7,642.6743
732.0,691.9502
628.0,591.6942
730.0,690.4379
678.5,641.61926
384.97,361.14816
651.0,593.8271
624.0,561.34174
562.032,529.0463
789.9,750.0081
707.0,658.9019
618.0,582.8626
454.9,405.21414
665.0,626.8338
850.0,785.7145
418.6,400.21753
530.0,502.69952
304.1467,279.74557
620.2,594.59283
448.9,395.24796
836.0,774.6458
714.0,680.7667
400.31,350.40964
451.65,401.30176
500.0,468.16144
594.0,550.0865
456.6,335.78098
406.814,382.5204
575.3,535.40564
711.1,665.1768
573.5,538.0305
702.0,661.804
302.98,285.90976
687.64,659.46814
397.0,359.26965
510.2,471.48257
549.0,522.61127
134.35,111.98469
784.0,777.9866
373.05,247.58916
607.0,570.6559
671.8,629.2846
682.0,648.94836
803.1,763.5555
386.449,352.63055
561.5,519.83997
518.0,474.33682
453.0,434.4552
428.0,394.1401
772.0,757.356
547.76,528.4532
685.0,671.44293
641.39,607.7644
792.0,765.5785
544.1,517.33966
510.0,484.04193
549.9,517.45074
403.41,382.70282
560.3,526.60614
44.4,31.431063
812.0,764.5375
667.95,649.137
544.2,510.0674
703.04,666.3317
684.0,630.192
849.0,827.46747
709.0,700.6162
625.0,593.5084
401.5,351.02814
558.9,517.71686
377.1,323.0869
437.7,419.13318
632.0,552.5061
632.0,569.7561
448.61,430.18634
576.7,540.6694
401.9,371.5143
673.0,635.0969
532.5,507.327
374.126,353.0704
376.65,356.7213
608.0,557.9757
755.8,709.7302
778.0,763.0175
858.0,845.6334
524.0,513.5538
626.0,602.1668
699.0,663.54974
652.13,612.925
535.62,511.46698
604.0,567.658
449.2,425.32693
345.868,318.77917
678.5,635.3683
726.0,686.7743
530.9,514.63837
718.0,687.69977
775.0,759.744
748.0,717.7615
683.75,655.07465
369.262,345.96243
777.8,732.41895
559.6,537.3363
670.0,631.2171
683.0,672.661
490.7,464.60583
538.2,492.24966
679.0,624.2775
820.0,796.45746
653.0,626.9829
720.0,706.9969
653.0,631.6233
616.94,597.2572
497.88,460.31113
480.91,460.66522
591.8,568.20184
460.9,433.88278
463.89,421.71387
571.1,526.90204
561.2,528.50543
893.0,882.1825
594.557,546.72534
435.7,403.15427
462.99,418.9665
528.0,525.4701
498.22,479.09412
775.0,743.7536
621.6,565.757
144.0,118.33175
698.0,674.9491
593.7,555.8687
433.3,419.72488
808.0,775.5473
623.0,600.7609
675.0,642.6172
359.4,344.19055
520.4,482.16666
411.98,368.79184
647.0,623.29285
578.1,536.7123
553.08,512.751
698.77,653.94464
535.2,494.76736
368.9,344.3261
653.4,599.6742
612.0,594.6719
647.05,622.8369
500.21,473.6958
716.0,644.4314
504.58,468.64664
560.4,511.0403
768.0,730.8156
504.0,478.40036
561.44,513.47595
897.0,882.6647
855.0,830.7968
719.5,664.12067
532.7,498.567
431.23,406.72824
770.0,736.36816
840.0,830.803
646.0,604.59875
763.0,745.15717
864.0,828.824
478.1,454.77667
379.5,360.38135
680.9,641.81665
523.1,492.66312
581.5,574.9881
698.8,632.41675
584.4,451.67944
563.6,519.45197
668.0,625.32043
540.6,496.4309
491.3,440.1222
490.2,465.72137
629.0,595.6342
592.1,569.54144
640.2,612.7346
459.59,442.839
614.0,574.07117
517.75,490.3489
647.0,621.1295
553.4,538.26917
632.0,602.93634
742.0,722.32214
567.5,532.72577
602.0,568.37354
634.7,594.33307
692.0,658.6645
574.88,555.8633
646.0,612.25824
398.07,376.65872
708.0,673.5255
415.76,397.22345
543.82,516.5882
641.0,586.7581
787.0,736.0543
487.6,458.45053
546.1,527.052
623.8,595.12823
708.0,689.1926
830.0,799.03613
571.2,526.3605
836.0,791.7336
485.1,465.88507
716.4,674.9762
749.0,701.27844
542.0,522.54425
618.3,567.7895
686.0,654.9612
539.67,503.72827
668.0,607.3519
899.0,865.6453
736.0,702.0
312.09,212.00931
540.75,523.24384
649.0,628.3829
640.4,609.74524
668.59,624.1
559.5,509.37076
421.75,321.31653
518.6,479.9529
695.0,647.0449
536.9,499.90152
811.0,797.0545
215.2,202.99942
150.71,99.94234
305.352,246.11873
475.0,437.87012
562.98,523.44995
534.65,500.28436
532.757,486.63034
708.0,676.6157
693.7,650.4231
701.0,671.7733
767.0,728.6002
590.5,549.53564
627.8,585.6945
680.0,618.9457
428.61,394.4925
579.41,534.6621
808.0,784.7265
509.0,454.99347
575.0,543.6778
339.173,312.27267
740.0,698.0784
569.4,535.534
836.0,793.2142
444.88,414.71487
578.0,538.7254
539.2,502.01184
763.0,728.4457
635.0,609.43835
454.57,425.32693
597.38,566.1257
551.0,525.4943
540.14,460.3376
836.0,792.6555
593.5,548.83435
564.32,527.14606
656.0,618.3167
464.1,400.0723
839.0,812.8742
844.0,786.3943
598.5,553.95984
549.73,516.31244
362.32,332.66882
697.0,657.974
325.4,217.17522
428.95,405.5741
601.1,556.92303
432.79,398.69055
509.7,469.5256
454.4,425.0393
617.633,568.7281
609.0,571.1809
3.3,3.2339215
575.6,547.18915
850.0,809.86273
658.23,606.82007
481.54,470.57443
540.16,498.33868
658.0,613.47217
369.873,332.73096
532.0,506.24033
718.0,673.0658
579.8,537.3772
535.773,498.005
543.86,503.0646
725.0,687.1739
675.0,633.91095
837.0,813.6472
725.0,687.97504
772.2,737.0934
435.0,423.34167
418.78,401.20944
548.62,486.87943
428.75,400.44144
511.6,484.23297
361.95,276.64917
395.4,365.54565
476.55,447.71524
308.52,250.13106
506.13,476.4315
813.0,782.2368
664.43,625.27423
644.79,607.3886
694.0,665.71313
602.6,563.81104
886.0,868.5222
538.6,512.8808
491.03,449.29135
944.0,890.7483
566.0,535.81256
588.0,533.90857
621.2,599.3947
692.43,640.6088
572.0,538.66925
416.266,325.71817
884.0,862.3409
619.0,581.41833
627.1,600.0877
261.08,242.06844
830.0,805.09204
611.0,568.9571
568.8,532.58466
663.1,618.0311
410.3,377.41547
838.0,794.5516
614.6,581.7231
483.71,462.90292
593.0,548.85785
712.0,664.92194
581.8,558.2408
679.0,666.3188
841.0,784.78467
566.3,537.79486
655.0,614.2622
560.6,520.24097
732.0,697.2161
645.1,611.28424
502.88,431.5542
592.3,541.605
623.5,587.9751
548.5,508.5926
760.0,715.88586
555.0,515.8043
528.0,504.48947
653.0,505.6606
687.26,650.0454
455.1,434.0487
786.0,771.3344
728.0,692.65607
731.1,672.28015
760.0,712.3996
685.0,641.3847
700.0,671.0952
651.5,614.71356
309.57,268.78607
755.0,679.9748
512.77,471.4293
646.11,611.0677
607.55,573.256
674.2,630.31946
568.837,523.42285
585.0,543.32196
868.0,849.9828
477.6,450.8946
472.25,429.1133
559.63,517.9448
599.6,561.4831
612.0,578.9615
597.6,567.7462
603.5,566.9198
772.0,750.7535
513.9,476.97083
662.0,636.12286
667.0,644.8997
594.099,548.07367
652.98,627.85376
685.0,636.96356
593.8,556.1531
827.0,802.7966
692.0,667.2999
519.19,496.60394
550.0,528.06525
630.56,605.2367
511.0,498.16992
560.06,524.2491
587.0,564.7213
508.27,456.15442
720.1,693.53436
619.18,575.38617
709.8,665.6045
260.0,236.62355
399.6,375.8445
603.7,565.3516
817.0,807.5581
710.0,687.693
648.0,608.51526
653.0,624.6737
654.3,615.4935
769.0,721.6742
553.5,525.1249
605.3,572.23157
377.922,360.26675
645.88,615.5665
526.0,502.69952
742.0,717.5779
695.0,657.7766
530.63,502.03067
851.0,790.6384
1037.0,998.4723
651.0,607.6137
662.0,635.5466
629.1,592.4135
556.9,522.5352
551.0,521.4305
420.26,400.04572
690.0,616.197
763.0,729.1607
289.749,196.65352
705.67,660.0636
658.0,623.20685
513.98,448.2375
672.2,606.26825
597.0,563.39575
395.425,365.52594
666.11,625.3852
271.1,248.51144
780.0,747.44666
307.6,288.73126
430.62,365.18558
708.0,673.75586
608.5,571.8973
632.7,593.2495
797.0,786.9179
466.8,440.32904
410.6,392.82828
682.0,652.8991
582.46,537.52716
845.0,789.08704
427.12,392.46893
504.35,467.9165
605.0,575.2454
451.56,419.4729
638.0,594.48755
361.85,338.9963
482.3,432.346
476.2,446.3722
772.0,724.3161
618.0,575.1517
676.0,610.14923
535.963,510.4465
606.0,575.2275
595.8,562.7775
694.0,657.7766
508.09,455.32645
760.0,713.77484
323.55,307.98764
518.15,452.00583
716.0,677.2069
555.8,529.34174
767.0,723.08185
516.7,480.83575
576.0,538.8976
645.0,631.08344
388.45,360.24173
495.8,471.4596
367.86,342.28598
770.0,747.863
615.2,579.18304
507.0,463.127
512.618,387.9772
604.4,565.24097
574.57,544.5289
579.45,545.5164
498.2,452.59503
475.5,448.57074
588.0,496.1443
531.1,509.47107
620.1,600.27026
842.0,807.2959
632.69,594.02893
570.92,535.35913
694.25,660.2655
776.0,755.7437
533.6,502.68842
589.0,565.0285
697.0,664.5192
719.0,541.44214
260.94,235.5807
687.0,661.0616
616.18,598.4342
583.5,547.5592
794.0,753.2802
721.74,680.4705
643.0,595.4307
723.0,686.112
509.1,494.84238
505.1,428.4032
540.0,490.60242
502.0,478.04166
417.99,385.86115
512.0,494.11865
546.49,497.91702
477.3,437.10593
364.0,340.0266
651.0,631.49493
456.49,403.4734
523.78,476.43686
650.0,627.2959
372.35,354.75568
830.0,818.6778
396.467,345.4898
611.43,572.193
323.5,254.50748
477.4,453.9143
639.66,599.6503
757.0,723.2804
519.0,475.18008
687.0,650.07324
634.4,598.7855
617.43,595.74854
705.0,671.826
882.0,891.11
639.66,597.4112
757.7,726.0288
669.1,637.588
723.8,679.91077
475.14,454.37094
400.6,370.74817
661.1,617.11096
629.8,586.96173
556.349,517.11115
763.0,727.0883
606.1,580.9784
563.0,539.27167
451.43,436.37054
785.0,753.209
647.317,416.01398
601.0,588.17755
585.0,547.6857
714.9,667.27313
410.14,275.88354
701.0,660.5386
270.0,184.45474
431.95,402.13037
740.8,683.7891
675.74,623.70557
667.25,646.8104
498.57,463.2656
687.8,645.4737
578.2,547.3871
496.95,476.92657
706.91,656.774
609.1,559.1874
450.0,425.32693
532.8,495.04297
638.28,605.7279
537.27,502.8243
619.0,580.50525
444.471,417.43024
798.0,750.5107
456.89,437.9718
723.0,689.3463
687.0,646.4456
443.9,413.24658
569.45,505.93967
730.0,698.3851
864.0,836.6284
605.0,567.6749
620.0,543.1402
973.0,913.408
748.0,715.46265
751.0,719.4115
621.87,595.38544
655.45,630.01855
695.19,668.7065
521.0,479.53705
545.42,463.78882
514.3,485.73285
451.85,422.81842
582.9,541.32477
728.0,557.5664
496.4,473.70074
766.0,688.5027
882.0,856.775
621.0,585.5864
647.1,651.281
716.0,673.2853
674.4,641.4072
723.0,697.45123
648.0,607.9332
785.0,739.63245
485.94,465.63898
616.0,585.16815
635.0,598.2413
421.81,396.08426
