true_temp,pred_temp
537.471,525.7952
640.0,604.83655
365.0,371.27603
919.0,987.3529
598.0,565.2399
568.9,538.3747
728.0,731.73474
723.2,714.12
904.0,958.9966
536.4,531.9043
505.35,515.5123
660.0,668.0185
328.04,336.11957
438.848,417.2783
549.95,560.53613
637.3,614.814
664.1,608.90186
779.0,737.3536
126.1931,182.77693
623.0,628.4232
707.0,682.265
594.0,577.4368
528.7,520.2951
798.0,795.20105
702.0,650.9772
437.84,471.42203
778.0,843.6418
594.37,547.71844
657.0,615.86505
487.0,486.50864
673.0,663.05676
592.0,575.3598
694.0,698.42584
647.23,667.8703
693.0,672.69916
496.3,472.01624
783.1,753.29315
664.1,669.0023
471.17,455.7023
611.7,603.62555
617.1,600.2095
706.0,691.4983
584.1,589.9777
521.0,495.56024
467.8,458.9154
423.27,402.7896
473.0,471.66272
812.0,876.5045
479.1,488.3665
543.0,538.1146
708.2,767.746
598.0,579.1724
574.4,588.471
502.2,511.1232
679.0,681.875
679.0,667.44086
482.02,532.51776
356.9,349.86176
511.749,422.27118
651.0,624.0476
718.0,725.2711
790.0,804.44885
586.78,579.105
623.8,623.7856
770.0,823.6564
317.45,331.07596
840.0,727.79095
685.7,659.1033
732.0,742.4827
628.0,618.82745
730.0,735.0721
678.5,681.875
384.97,394.63663
651.0,639.86896
624.0,553.9424
562.032,495.53198
789.9,807.02765
707.0,704.3641
618.0,603.5424
454.9,437.7684
665.0,648.2141
850.0,814.5882
418.6,418.20078
530.0,577.71814
304.1467,328.87192
620.2,611.30316
448.9,482.9038
836.0,782.6997
714.0,769.57776
400.31,432.0951
451.65,437.00064
500.0,497.56488
594.0,576.9384
456.6,382.2486
406.814,412.33545
575.3,576.9566
711.1,710.64044
573.5,547.88513
702.0,703.33203
302.98,324.11053
687.64,641.40497
397.0,365.245
510.2,485.61887
549.0,516.73193
134.35,169.89978
784.0,792.46906
373.05,370.225
607.0,573.9376
671.8,664.3963
682.0,722.406
803.1,760.67065
386.449,409.97202
561.5,503.85715
518.0,499.88077
453.0,453.01736
428.0,417.59412
772.0,730.4681
547.76,577.8374
685.0,713.7431
641.39,642.93915
792.0,806.9815
544.1,551.19946
510.0,499.42444
549.9,555.15405
403.41,391.41876
560.3,545.5343
44.4,61.393158
812.0,867.9817
667.95,645.9153
544.2,512.37286
703.04,704.5175
684.0,632.60236
849.0,937.48737
709.0,685.7602
625.0,638.0146
401.5,416.92645
558.9,544.89874
377.1,325.26312
437.7,452.83755
632.0,548.546
632.0,616.9935
448.61,483.51382
576.7,579.0107
401.9,382.6806
673.0,651.1132
532.5,522.83716
374.126,365.97482
376.65,347.3685
608.0,612.4832
755.8,758.19
778.0,812.61743
858.0,870.91144
524.0,548.685
626.0,622.0279
699.0,697.5941
652.13,644.92834
535.62,541.1368
604.0,570.52594
449.2,459.57892
345.868,376.86908
678.5,668.68134
726.0,741.7216
530.9,513.481
718.0,714.6462
775.0,765.4012
748.0,751.0537
683.75,672.5205
369.262,384.01654
777.8,782.6088
559.6,571.77893
670.0,665.29803
683.0,774.699
490.7,497.76434
538.2,537.3854
679.0,651.6469
820.0,843.6254
653.0,661.4857
720.0,719.58954
653.0,639.2324
616.94,624.1627
497.88,513.125
480.91,530.839
591.8,594.3586
460.9,446.57077
463.89,463.1306
571.1,593.3459
561.2,557.37573
893.0,953.3363
594.557,590.25934
435.7,419.04468
462.99,439.1014
528.0,550.37036
498.22,530.33154
775.0,751.0639
621.6,602.4734
144.0,226.86887
698.0,721.5948
593.7,573.5084
433.3,438.2721
808.0,869.78796
623.0,667.4002
675.0,657.5418
359.4,353.87244
520.4,520.67865
411.98,393.4939
647.0,612.22565
578.1,553.57043
553.08,531.206
698.77,702.18646
535.2,529.4416
368.9,379.27313
653.4,665.9671
612.0,633.68317
647.05,668.2956
500.21,512.92834
716.0,698.96564
504.58,516.87585
560.4,548.7664
768.0,778.3539
504.0,501.96918
561.44,527.587
897.0,922.6322
855.0,932.1417
719.5,690.57336
532.7,510.29752
431.23,453.04572
770.0,780.01953
840.0,874.79486
646.0,642.906
763.0,760.90515
864.0,908.36523
478.1,483.0839
379.5,356.2638
680.9,681.96094
523.1,540.73083
581.5,599.7443
698.8,636.41644
584.4,638.9052
563.6,560.6179
668.0,660.10944
540.6,540.0801
491.3,439.59842
490.2,497.77133
629.0,621.84625
592.1,595.5313
640.2,643.65955
459.59,483.3506
614.0,581.5169
517.75,521.68677
647.0,631.97955
553.4,555.38007
632.0,648.9535
742.0,715.00525
567.5,531.9486
602.0,593.85486
634.7,620.5467
692.0,647.424
574.88,664.0644
646.0,641.07294
398.07,367.993
708.0,715.0452
415.76,407.56827
543.82,560.4669
641.0,616.0295
787.0,779.4918
487.6,458.36078
546.1,569.2165
623.8,653.58185
708.0,721.2073
830.0,907.6534
571.2,533.8038
836.0,861.1954
485.1,447.4913
716.4,660.1941
749.0,773.8229
542.0,564.8612
618.3,594.64667
686.0,698.40204
539.67,541.0486
668.0,689.0267
899.0,952.2215
736.0,761.1895
312.09,306.54477
540.75,528.52856
649.0,682.01825
640.4,622.8727
668.59,661.3795
559.5,558.68176
421.75,448.3616
518.6,516.0672
695.0,714.1048
536.9,506.79626
811.0,823.7952
215.2,317.1276
150.71,144.96608
305.352,383.75146
475.0,466.46646
562.98,550.1802
534.65,519.67896
532.757,540.2834
708.0,710.62415
693.7,687.908
701.0,696.49146
767.0,796.99493
590.5,565.2644
627.8,623.67926
680.0,674.47076
428.61,432.12732
579.41,584.0965
808.0,828.8779
509.0,490.55756
575.0,583.00287
339.173,340.7537
740.0,736.17206
569.4,557.4091
836.0,863.88995
444.88,454.91504
578.0,584.304
539.2,509.94714
763.0,770.33777
635.0,626.1416
454.57,459.57895
597.38,575.8567
551.0,539.7325
540.14,477.57922
836.0,860.7302
593.5,558.31384
564.32,574.5742
656.0,644.0156
464.1,463.405
839.0,885.92645
844.0,786.6945
598.5,603.76715
549.73,537.13885
362.32,363.16287
697.0,701.429
325.4,327.9866
428.95,439.02512
601.1,537.57794
432.79,450.08206
509.7,516.3608
454.4,447.51346
617.633,614.11597
609.0,606.1615
3.3,7.861496
575.6,581.36536
850.0,881.1861
658.23,653.51215
481.54,524.88916
540.16,542.5461
658.0,647.27496
369.873,433.41562
532.0,541.20465
718.0,712.2118
579.8,568.5447
535.773,509.0184
543.86,547.1233
725.0,727.2904
675.0,665.5817
837.0,868.05457
725.0,712.52026
772.2,730.60956
435.0,453.39114
418.78,414.23044
548.62,560.9627
428.75,375.9054
511.6,498.56757
361.95,411.50455
395.4,382.99203
476.55,502.38312
308.52,364.1465
506.13,528.18964
813.0,877.6209
664.43,657.11804
644.79,602.6179
694.0,739.04095
602.6,598.8379
