true_temp,pred_temp
537.471,543.89264
640.0,632.35754
365.0,361.26
919.0,932.92584
598.0,576.6023
568.9,596.5529
728.0,775.163
723.2,730.42194
904.0,911.0096
536.4,553.3349
505.35,545.2486
660.0,680.3573
328.04,335.0238
438.848,448.05707
549.95,575.5328
637.3,626.5017
664.1,664.1223
779.0,806.98535
126.1931,173.76529
623.0,613.4395
707.0,724.8354
594.0,605.1027
528.7,534.83984
798.0,808.8372
702.0,708.0838
437.84,492.07166
778.0,788.2673
594.37,582.69214
657.0,647.54596
487.0,515.55975
673.0,691.83203
592.0,607.5298
694.0,749.4699
647.23,718.37964
693.0,668.4386
496.3,493.27768
783.1,756.75116
664.1,695.39667
471.17,448.49597
611.7,620.6546
617.1,622.08575
706.0,720.14905
584.1,616.7402
521.0,510.00766
467.8,401.71774
423.27,409.42123
473.0,434.025
812.0,803.3931
479.1,498.82535
543.0,557.2154
708.2,729.0544
598.0,614.18274
574.4,578.4424
502.2,539.6457
679.0,725.9353
679.0,687.925
482.02,525.9323
356.9,343.7622
511.749,483.3073
651.0,658.29926
718.0,736.00476
790.0,812.78546
586.78,619.3352
623.8,665.749
770.0,838.53534
317.45,334.80447
840.0,771.225
685.7,676.50006
732.0,747.6156
628.0,641.9147
730.0,781.8073
678.5,725.9353
384.97,391.79636
651.0,677.24603
624.0,582.06
562.032,475.02948
789.9,813.94244
707.0,726.786
618.0,631.89105
454.9,438.87128
665.0,668.1269
850.0,844.39886
418.6,400.19174
530.0,438.58926
304.1467,327.0814
620.2,605.5232
448.9,484.87253
836.0,790.8439
714.0,748.7496
400.31,432.49246
451.65,432.499
500.0,506.757
594.0,589.2255
456.6,373.18903
406.814,413.26538
575.3,593.4054
711.1,762.93304
573.5,571.42584
702.0,744.444
302.98,321.3163
687.64,684.43445
397.0,359.99265
510.2,511.1201
549.0,534.1078
134.35,144.70734
784.0,806.03284
373.05,337.70944
607.0,579.6962
671.8,711.63165
682.0,712.40643
803.1,768.53613
386.449,410.67715
561.5,547.10583
518.0,511.86728
453.0,396.2492
428.0,403.68497
772.0,760.6855
547.76,596.6468
685.0,711.6209
641.39,688.98145
792.0,846.7307
544.1,558.6256
510.0,482.2916
549.9,590.71686
403.41,409.55234
560.3,538.1622
44.4,51.44091
812.0,866.0788
667.95,651.39716
544.2,504.35922
703.04,729.39624
684.0,703.3005
849.0,830.3149
709.0,739.74786
625.0,649.6021
401.5,389.28006
558.9,553.8556
377.1,319.1051
437.7,439.06125
632.0,607.3121
632.0,651.9656
448.61,494.18448
576.7,614.8759
401.9,364.7216
673.0,658.0971
532.5,446.41373
374.126,374.8221
376.65,372.27606
608.0,638.6225
755.8,782.4522
778.0,840.95966
858.0,926.8376
524.0,473.21118
626.0,646.9537
699.0,731.72394
652.13,691.315
535.62,575.63086
604.0,559.9992
449.2,406.64493
345.868,373.44125
678.5,724.76276
726.0,795.7944
530.9,504.30615
718.0,740.1192
775.0,803.71313
748.0,800.2443
683.75,661.0332
369.262,378.21378
777.8,798.90985
559.6,600.71783
670.0,668.34845
683.0,758.26935
490.7,524.70807
538.2,570.67926
679.0,661.852
820.0,868.6988
653.0,680.9246
720.0,723.49133
653.0,662.52655
616.94,636.2766
497.88,536.3148
480.91,481.39484
591.8,603.419
460.9,385.20267
463.89,410.39304
571.1,559.48975
561.2,564.12885
893.0,982.39667
594.557,622.5692
435.7,450.58496
462.99,418.30527
528.0,576.93427
498.22,457.2374
775.0,765.93164
621.6,648.2172
144.0,211.53773
698.0,737.38324
593.7,597.1536
433.3,432.9183
808.0,812.88275
623.0,653.4481
675.0,684.4484
359.4,349.359
520.4,557.4206
411.98,379.77304
647.0,652.57874
578.1,565.50946
553.08,553.9715
698.77,733.706
535.2,516.27203
368.9,369.89462
653.4,675.071
612.0,654.98724
647.05,671.25507
500.21,493.77414
716.0,721.6275
504.58,543.498
560.4,575.3231
768.0,796.041
504.0,517.22614
561.44,560.3163
897.0,936.3071
855.0,840.9116
719.5,734.7557
532.7,532.5626
431.23,472.29773
770.0,795.48236
840.0,857.25726
646.0,701.5598
763.0,793.7595
864.0,815.8049
478.1,415.99603
379.5,344.16916
680.9,726.16437
523.1,518.54083
581.5,627.5421
698.8,639.92334
584.4,615.21344
563.6,593.45355
668.0,710.1198
540.6,572.268
491.3,456.4476
490.2,501.90414
629.0,645.2474
592.1,613.9064
640.2,667.2132
459.59,468.93512
614.0,617.41644
517.75,542.92706
647.0,634.74994
553.4,538.30304
632.0,657.5407
742.0,787.71204
567.5,545.3278
602.0,589.6952
634.7,667.2548
692.0,679.9436
574.88,531.9844
646.0,660.8498
398.07,346.34805
708.0,758.07294
415.76,391.35287
543.82,565.6712
641.0,649.8599
787.0,906.3836
487.6,429.213
546.1,549.1326
623.8,672.5511
708.0,736.7841
830.0,817.3265
571.2,566.6559
836.0,797.09015
485.1,438.6193
716.4,677.0936
749.0,784.3752
542.0,587.2764
618.3,616.92145
686.0,729.05615
539.67,546.23724
668.0,717.6925
899.0,834.885
736.0,814.39044
312.09,299.3582
540.75,547.2589
649.0,664.1375
640.4,646.9364
668.59,698.5417
559.5,578.53766
421.75,448.79276
518.6,543.5512
695.0,748.9073
536.9,523.9812
811.0,834.25916
215.2,289.50003
150.71,154.94354
305.352,370.33002
475.0,486.697
562.98,568.17664
534.65,532.88995
532.757,565.50055
708.0,730.63983
693.7,742.70996
701.0,715.31805
767.0,847.5668
590.5,592.7332
627.8,682.62994
680.0,674.5529
428.61,448.0054
579.41,596.2812
808.0,828.8731
509.0,508.56686
