Metric,Value
number_features,45
num_edge_features,11
initial_dim_gcn ,45
edge_dim_feature,11
layers,500-0-250-0-100-0-15-100-50-5
training split ,/home/jbd3qn/Downloads/critical_temp_GCNN/chemprop_splits_csv/training/train_full.csv
validation split ,/home/jbd3qn/Downloads/critical_temp_GCNN/chemprop_splits_csv/validation/val_full.csv
batch_size,10
learning_rate,0.001
number_of_epochs,100
r2_train,0.9696073355294133
r_train,0.9866835058605703
mae_train,16.749825142572345
mse_train,25.03667900015831
time_training,68.74829912185669
r2_validation,0.9085307379016123
r_validation,0.9558045602727728
mae_validation,26.034288780713293
mse_validation,43.27439685178624
time_processing(min),0.2087756037712097
time_prediction,0.13439134359359742
total_time,1.4982277433077493
weights_file,./model_11_03_IV/best_model_weights.pth
