true_temp,pred_temp
537.471,533.65326
640.0,645.6893
365.0,352.16476
919.0,940.0235
598.0,578.7821
568.9,558.4224
728.0,729.38495
723.2,694.00793
904.0,918.21484
536.4,534.25433
505.35,515.188
660.0,650.1641
328.04,332.58502
438.848,444.21823
549.95,549.472
637.3,634.6863
664.1,661.4549
779.0,779.0568
126.1931,134.86105
623.0,612.8728
707.0,695.3573
594.0,591.2281
528.7,517.1522
798.0,849.78613
702.0,696.31085
437.84,445.8311
778.0,795.28253
594.37,567.6133
657.0,669.67303
487.0,493.4085
673.0,661.93066
592.0,577.9167
694.0,697.56396
647.23,657.8903
693.0,697.75146
496.3,476.91934
783.1,803.383
664.1,669.38007
471.17,461.95062
611.7,611.92975
617.1,615.01373
706.0,711.7227
584.1,575.2089
521.0,525.3986
467.8,450.55954
423.27,431.63602
473.0,467.14694
812.0,827.8312
479.1,461.63608
543.0,515.91986
708.2,723.58875
598.0,574.949
574.4,567.49695
502.2,496.6902
679.0,679.15656
679.0,665.4753
482.02,505.98886
356.9,361.71292
511.749,479.19058
651.0,642.1901
718.0,715.67285
790.0,788.2937
586.78,587.9668
623.8,628.27313
770.0,762.165
317.45,291.9545
840.0,798.18536
685.7,651.77466
732.0,713.90924
628.0,617.28314
730.0,742.54584
678.5,679.15656
384.97,401.5405
651.0,628.2355
624.0,606.264
562.032,535.06525
789.9,792.77423
707.0,657.52106
618.0,618.9497
454.9,451.96725
665.0,648.09155
850.0,776.5241
418.6,433.82162
530.0,536.6297
304.1467,353.65128
620.2,599.0754
448.9,444.35004
836.0,796.47955
714.0,728.53204
400.31,398.58798
451.65,429.99274
500.0,477.46774
594.0,584.44415
456.6,434.25772
406.814,400.13455
575.3,594.37085
711.1,712.8775
573.5,559.3421
702.0,698.8243
302.98,316.15216
687.64,681.88654
397.0,404.32474
510.2,497.56583
549.0,553.53864
134.35,131.74957
784.0,785.2219
373.05,355.9349
607.0,592.9813
671.8,664.58875
682.0,687.9128
803.1,806.4599
386.449,384.93994
561.5,543.27515
518.0,498.88986
453.0,447.2023
428.0,436.39114
772.0,767.3016
547.76,575.1818
685.0,676.86127
641.39,644.5567
792.0,794.85077
544.1,545.5295
510.0,502.2291
549.9,555.0445
403.41,412.66846
560.3,545.6911
44.4,43.054497
812.0,818.9625
667.95,664.4252
544.2,560.5934
703.04,699.7364
684.0,698.97015
849.0,887.6502
709.0,714.898
625.0,611.29486
401.5,419.9633
558.9,551.30536
377.1,355.11813
437.7,439.40475
632.0,605.9891
632.0,610.00934
448.61,473.5001
576.7,578.1646
401.9,408.49966
673.0,647.0163
532.5,537.8348
374.126,375.8552
376.65,392.52335
608.0,607.8797
755.8,755.02545
778.0,795.7807
858.0,861.16583
524.0,548.5236
626.0,629.47217
699.0,687.3953
652.13,646.7726
535.62,537.17914
604.0,599.3759
449.2,466.68582
345.868,342.1542
678.5,674.32056
726.0,712.9243
530.9,521.57465
718.0,712.67633
775.0,738.6447
748.0,759.72296
683.75,649.8439
369.262,370.70718
777.8,774.5432
559.6,549.7797
670.0,654.5498
683.0,657.1148
490.7,487.1721
538.2,533.11884
679.0,644.72577
820.0,819.7313
653.0,650.94446
720.0,702.4678
653.0,629.9894
616.94,622.1447
497.88,489.32578
480.91,499.10458
591.8,597.03516
460.9,477.70316
463.89,450.6662
571.1,556.49396
561.2,541.88275
893.0,829.1241
594.557,586.27924
435.7,416.1464
462.99,448.464
528.0,560.9185
498.22,518.6308
775.0,749.46893
621.6,616.9245
144.0,168.81302
698.0,676.37854
593.7,586.0495
433.3,425.6578
808.0,838.68365
623.0,625.78284
675.0,662.81165
359.4,358.04077
520.4,525.2126
411.98,388.32257
647.0,647.8371
578.1,571.4007
553.08,553.685
698.77,666.55817
535.2,509.55847
368.9,381.9639
653.4,644.0053
612.0,621.4619
647.05,651.4951
500.21,493.9597
716.0,708.75305
504.58,495.8723
560.4,543.60706
768.0,770.9328
504.0,503.30185
561.44,564.33344
897.0,853.92883
855.0,901.9652
719.5,705.85236
532.7,547.2227
431.23,440.31082
770.0,769.33344
840.0,858.11774
646.0,646.38794
763.0,757.72595
864.0,880.86273
478.1,489.88297
379.5,379.1621
680.9,680.5813
523.1,531.7443
581.5,617.2924
698.8,637.7911
584.4,607.22546
563.6,550.52484
668.0,663.28656
540.6,529.6866
491.3,518.1355
490.2,515.77893
629.0,629.1845
592.1,585.6627
640.2,639.9877
459.59,484.7723
614.0,605.38116
517.75,536.8842
647.0,628.8716
553.4,567.74634
632.0,624.6171
742.0,763.4359
567.5,570.22595
602.0,588.75055
634.7,624.9735
692.0,703.4821
574.88,624.661
646.0,646.51013
398.07,396.64908
708.0,711.6551
415.76,437.06906
543.82,534.7294
641.0,619.78766
787.0,762.8957
487.6,494.7454
546.1,536.9054
623.8,621.96954
708.0,705.5176
830.0,860.12946
571.2,563.299
836.0,837.1773
485.1,472.51492
716.4,678.8528
749.0,736.6718
542.0,553.594
618.3,596.90875
686.0,684.0419
539.67,525.4688
668.0,626.6634
899.0,914.34576
736.0,728.2005
312.09,294.09695
540.75,539.74915
649.0,626.12305
640.4,635.2223
668.59,645.0382
559.5,558.46906
421.75,394.5434
518.6,493.73132
695.0,662.2216
536.9,517.1086
811.0,813.25525
215.2,238.04498
150.71,137.1813
305.352,308.86594
475.0,466.60046
562.98,564.81915
534.65,527.1856
532.757,544.806
708.0,683.1586
693.7,691.45575
701.0,670.5358
767.0,757.4392
590.5,564.9428
