true_temp,pred_temp
537.471,509.06662
640.0,673.5855
365.0,356.20612
919.0,917.0699
598.0,569.20667
568.9,560.25134
728.0,736.5813
723.2,703.9749
904.0,892.2795
536.4,556.96686
505.35,525.7081
660.0,648.45026
328.04,335.06442
438.848,428.0086
549.95,550.1457
637.3,616.2437
664.1,656.3468
779.0,804.14777
126.1931,161.1297
623.0,613.84296
707.0,689.32074
594.0,593.6214
528.7,500.52744
798.0,747.17377
702.0,677.09625
437.84,491.5751
778.0,791.9765
594.37,546.3747
657.0,621.23724
487.0,499.48798
673.0,633.0101
592.0,584.10004
694.0,711.6701
647.23,694.21466
693.0,693.6043
496.3,484.75998
783.1,830.7029
664.1,676.2026
471.17,458.64273
611.7,584.14905
617.1,629.86847
706.0,706.7753
584.1,595.55475
521.0,511.6122
467.8,405.26968
423.27,409.66916
473.0,449.40454
812.0,807.97833
479.1,463.54874
543.0,536.63226
708.2,734.29156
598.0,589.4233
574.4,570.44464
502.2,528.98846
679.0,690.74774
679.0,683.1617
482.02,522.00446
356.9,358.05777
511.749,502.19626
651.0,667.8084
718.0,730.7596
790.0,793.9095
586.78,592.78925
623.8,634.72095
770.0,769.0131
317.45,354.121
840.0,670.0037
685.7,664.9603
732.0,713.68506
628.0,654.76166
730.0,751.71674
678.5,690.7476
384.97,404.79147
651.0,638.2697
624.0,582.61017
562.032,508.2143
789.9,798.26965
707.0,724.635
618.0,615.51666
454.9,421.2237
665.0,664.0153
850.0,796.1413
418.6,429.69836
530.0,563.14386
304.1467,311.38083
620.2,592.20294
448.9,479.99716
836.0,794.1559
714.0,740.6275
400.31,442.83774
451.65,430.81433
500.0,533.161
594.0,585.5953
456.6,383.6713
406.814,412.0278
575.3,571.32196
711.1,725.5171
573.5,574.0661
702.0,707.121
302.98,315.46634
687.64,634.7797
397.0,369.71973
510.2,500.83337
549.0,513.2091
134.35,148.33592
784.0,815.23157
373.05,354.71786
607.0,578.72546
671.8,674.1341
682.0,703.2045
803.1,841.2697
386.449,417.52646
561.5,558.74506
518.0,488.60623
453.0,441.27554
428.0,422.02032
772.0,753.03265
547.76,576.6372
685.0,692.1075
641.39,656.05804
792.0,818.49896
544.1,543.9062
510.0,480.68918
549.9,569.52405
403.41,389.9797
560.3,567.36127
44.4,52.338516
812.0,817.9079
667.95,641.4744
544.2,487.10062
703.04,698.8653
684.0,693.55206
849.0,844.4987
709.0,709.5727
625.0,638.9783
401.5,431.89706
558.9,554.05
377.1,304.98074
437.7,437.37317
632.0,593.4511
632.0,622.1679
448.61,487.7064
576.7,590.95807
401.9,385.33267
673.0,708.3808
532.5,486.83368
374.126,390.94003
376.65,357.9011
608.0,619.3279
755.8,754.87164
778.0,844.4167
858.0,978.15076
524.0,599.73065
626.0,626.22107
699.0,729.872
652.13,656.77563
535.62,559.81647
604.0,545.0634
449.2,442.8839
345.868,384.9998
678.5,681.0602
726.0,731.1677
530.9,528.3114
718.0,680.7548
775.0,808.6423
748.0,775.9987
683.75,653.08356
369.262,383.93784
777.8,777.44507
559.6,588.9107
670.0,665.76404
683.0,827.7659
490.7,509.75894
538.2,564.20557
679.0,647.3116
820.0,848.62213
653.0,690.7756
720.0,699.43555
653.0,672.07275
616.94,633.4709
497.88,520.89923
480.91,508.22955
591.8,604.4277
460.9,485.15353
463.89,437.5472
571.1,537.78986
561.2,550.9461
893.0,992.07056
594.557,594.3068
435.7,443.33698
462.99,451.311
528.0,578.79456
498.22,498.2257
775.0,771.54425
621.6,612.6017
144.0,230.86896
698.0,730.70734
593.7,551.5755
433.3,422.4795
808.0,805.09503
623.0,665.2373
675.0,673.96576
359.4,385.61026
520.4,541.16547
411.98,387.19846
647.0,616.23334
578.1,557.9472
553.08,550.7769
698.77,719.733
535.2,543.5136
368.9,389.31027
653.4,664.5678
612.0,641.17773
647.05,668.8389
500.21,493.59982
716.0,694.65295
504.58,533.63385
560.4,559.45526
768.0,778.81683
504.0,487.8978
561.44,555.91156
897.0,1052.9171
855.0,844.2591
719.5,696.67096
532.7,500.719
431.23,466.68964
770.0,770.1901
840.0,890.07367
646.0,662.8016
763.0,817.4106
864.0,875.3243
478.1,449.16342
379.5,361.13773
680.9,690.9443
523.1,514.5822
581.5,603.74054
698.8,644.1643
584.4,630.30743
563.6,562.4942
668.0,672.86743
540.6,553.12036
491.3,420.35873
490.2,532.83997
629.0,632.629
592.1,607.7112
640.2,670.2319
459.59,447.24728
614.0,592.89667
517.75,526.79443
647.0,612.19104
553.4,533.8951
632.0,685.6897
742.0,741.71027
567.5,510.33087
602.0,590.7891
634.7,654.905
692.0,662.36237
574.88,591.53345
646.0,648.3704
398.07,373.9536
708.0,723.34344
415.76,395.73438
543.82,578.75836
641.0,621.5904
787.0,901.5697
487.6,461.55582
546.1,547.18353
623.8,674.4638
708.0,722.01447
830.0,823.3271
571.2,550.0832
836.0,851.6369
485.1,415.0199
716.4,679.5262
749.0,757.6149
542.0,574.6314
