true_temp,pred_temp
537.471,495.73633
640.0,652.3714
365.0,358.6289
919.0,896.2997
598.0,557.12445
568.9,553.92236
728.0,734.2511
723.2,683.2731
904.0,874.8877
536.4,522.2422
505.35,518.4323
660.0,645.2549
328.04,333.2237
438.848,414.94067
549.95,547.62585
637.3,623.489
664.1,628.07947
779.0,740.8605
126.1931,147.16862
623.0,605.63196
707.0,674.2525
594.0,597.9457
528.7,487.2032
798.0,793.053
702.0,669.6457
437.84,476.01038
778.0,780.2579
594.37,585.00684
657.0,631.18726
487.0,501.86047
673.0,629.89734
592.0,571.1894
694.0,713.4591
647.23,652.33606
693.0,679.8493
496.3,478.28955
783.1,747.64124
664.1,678.4368
471.17,455.5078
611.7,615.1483
617.1,596.58704
706.0,699.396
584.1,587.1778
521.0,521.56024
467.8,414.32126
423.27,419.77332
473.0,463.0071
812.0,794.4224
479.1,477.0352
543.0,535.60077
708.2,743.5363
598.0,577.7169
574.4,555.6002
502.2,517.07996
679.0,692.95654
679.0,685.47485
482.02,538.7499
356.9,364.58304
511.749,451.96167
651.0,626.8362
718.0,729.5309
790.0,772.4088
586.78,590.7269
623.8,636.6378
770.0,806.1871
317.45,347.44254
840.0,766.84875
685.7,664.67285
732.0,697.69275
628.0,616.1309
730.0,750.8711
678.5,692.95654
384.97,395.98044
651.0,626.5725
624.0,565.46027
562.032,469.12512
789.9,781.8275
707.0,713.3506
618.0,619.0261
454.9,467.58417
665.0,666.39136
850.0,843.58765
418.6,427.0349
530.0,529.296
304.1467,341.5681
620.2,616.59595
448.9,476.0863
836.0,782.9132
714.0,731.0697
400.31,431.75653
451.65,427.91653
500.0,467.13034
594.0,582.24
456.6,376.57272
406.814,412.8535
575.3,591.1651
711.1,726.3111
573.5,544.5591
702.0,707.7445
302.98,322.55783
687.64,636.5746
397.0,320.05176
510.2,483.65982
549.0,547.58734
134.35,133.50897
784.0,783.6112
373.05,373.7331
607.0,569.5868
671.8,678.37775
682.0,695.298
803.1,757.9694
386.449,406.65344
561.5,476.9784
518.0,471.32092
453.0,408.7343
428.0,409.4975
772.0,723.42126
547.76,573.5199
685.0,687.9392
641.39,658.65405
792.0,814.1689
544.1,555.0844
510.0,455.33194
549.9,550.7225
403.41,401.84604
560.3,543.11487
44.4,53.671707
812.0,861.04663
667.95,632.27106
544.2,505.23572
703.04,684.88153
684.0,647.73706
849.0,827.9399
709.0,694.2724
625.0,627.78455
401.5,411.04343
558.9,558.30786
377.1,335.32974
437.7,443.5109
632.0,557.91156
632.0,607.2312
448.61,477.07196
576.7,574.32947
401.9,380.9308
673.0,690.9232
532.5,494.7125
374.126,368.7096
376.65,339.56787
608.0,600.42017
755.8,747.73035
778.0,815.49994
858.0,941.7165
524.0,563.0394
626.0,614.72705
699.0,689.45154
652.13,659.7604
535.62,543.8922
604.0,609.9182
449.2,470.24835
345.868,365.7014
678.5,689.6736
726.0,717.7075
530.9,530.96277
718.0,670.5703
775.0,786.2223
748.0,771.5624
683.75,638.6079
369.262,377.24335
777.8,768.2953
559.6,566.54126
670.0,653.30115
683.0,695.57434
490.7,500.89288
538.2,547.65686
679.0,625.88226
820.0,832.29315
653.0,645.02344
720.0,761.46356
653.0,639.73865
616.94,622.4277
497.88,507.20575
480.91,562.4171
591.8,593.0493
460.9,451.83392
463.89,436.7876
571.1,553.67175
561.2,542.94763
893.0,1012.19165
594.557,586.269
435.7,435.21313
462.99,449.108
528.0,545.6665
498.22,542.6787
775.0,757.63904
621.6,619.87933
144.0,220.34766
698.0,719.4539
593.7,542.8851
433.3,436.58652
808.0,801.491
623.0,651.71045
675.0,642.09424
359.4,352.41003
520.4,522.3844
411.98,377.58026
647.0,637.0525
578.1,567.97644
553.08,558.2242
698.77,699.79065
535.2,538.55756
368.9,379.75385
653.4,662.0613
612.0,639.90125
647.05,655.4217
500.21,490.69797
716.0,685.5445
504.58,514.3075
560.4,543.26685
768.0,768.4723
504.0,472.1848
561.44,547.60443
897.0,1006.53235
855.0,829.8677
719.5,729.5206
532.7,507.5088
431.23,472.31818
770.0,750.1791
840.0,844.4803
646.0,669.7238
763.0,764.6416
864.0,879.0821
478.1,504.86996
379.5,370.30347
680.9,693.0422
523.1,509.3021
581.5,592.8051
698.8,641.2905
584.4,677.64594
563.6,556.8338
668.0,676.42694
540.6,539.497
491.3,467.83826
490.2,496.78192
629.0,639.782
592.1,600.13367
640.2,641.6758
459.59,445.07336
614.0,582.2489
517.75,528.4372
647.0,611.21606
553.4,529.71704
632.0,640.82166
742.0,773.0584
567.5,533.0592
602.0,609.2202
634.7,610.1652
692.0,663.35693
574.88,596.068
646.0,654.7904
398.07,357.272
708.0,721.1845
415.76,391.32513
543.82,535.7037
641.0,610.9695
787.0,842.0019
487.6,455.3498
546.1,553.2267
623.8,647.35284
708.0,695.2431
830.0,809.8967
571.2,535.08826
836.0,857.86646
485.1,462.32413
716.4,668.2947
749.0,732.9397
542.0,566.9702
618.3,592.18286
686.0,724.56573
539.67,533.5746
668.0,634.34174
899.0,901.6145
736.0,731.1107
312.09,329.56845
540.75,538.9556
649.0,653.70544
640.4,639.0103
668.59,658.7518
559.5,545.17487
421.75,465.788
518.6,514.51086
695.0,702.4424
536.9,496.62878
811.0,812.0335
215.2,295.15637
150.71,146.34326
305.352,380.47058
475.0,452.9759
562.98,535.0684
534.65,519.56
532.757,534.21313
708.0,724.39856
693.7,705.9597
701.0,697.6802
767.0,757.6636
590.5,575.7272
627.8,651.1951
680.0,643.59814
428.61,442.24506
579.41,623.4092
808.0,788.77576
509.0,482.272
575.0,606.14264
339.173,347.71902
740.0,740.53577
569.4,577.36194
836.0,809.7414
444.88,424.3084
578.0,584.62805
539.2,511.57196
763.0,784.8052
635.0,633.768
454.57,470.24835
597.38,565.162
551.0,541.68384
540.14,507.3957
836.0,891.1604
593.5,543.5325
564.32,547.3974
656.0,675.1988
464.1,465.31268
839.0,916.1085
844.0,824.4431
598.5,598.9343
549.73,553.8507
362.32,366.6756
697.0,707.282
325.4,340.07275
428.95,396.62128
601.1,597.9465
432.79,428.5201
509.7,525.5509
454.4,466.39014
617.633,609.89215
609.0,618.6278
3.3,5.168151
575.6,559.9746
850.0,820.76086
658.23,653.2489
481.54,517.8573
540.16,539.0786
658.0,656.0553
369.873,429.7168
532.0,548.3264
718.0,717.6856
579.8,559.4828
535.773,526.1253
543.86,526.0848
725.0,734.04803
675.0,651.2819
837.0,843.3798
725.0,697.6708
772.2,750.42487
435.0,401.07996
418.78,429.525
548.62,552.6494
428.75,408.85742
511.6,486.56076
361.95,406.8667
395.4,394.58783
476.55,510.74243
308.52,348.36407
506.13,506.57797
813.0,827.82874
664.43,645.90625
644.79,617.719
694.0,713.6055
602.6,592.0873
886.0,865.7718
538.6,528.78894
491.03,488.26276
944.0,915.2727
566.0,538.48193
588.0,593.6294
621.2,614.00305
692.43,683.72314
572.0,558.8052
416.266,437.6869
884.0,1018.71985
619.0,639.3812
627.1,605.75684
261.08,362.62228
830.0,887.843
611.0,622.69666
568.8,552.4337
663.1,672.1564
410.3,422.73016
838.0,841.9351
614.6,600.1632
483.71,495.84622
593.0,591.07837
712.0,720.25745
581.8,573.25653
679.0,673.44977
841.0,782.42993
566.3,539.0461
655.0,667.4975
560.6,510.50586
732.0,712.8688
645.1,640.2578
502.88,509.2431
592.3,563.74506
623.5,626.61273
548.5,519.66034
760.0,772.9176
555.0,519.564
528.0,518.3916
653.0,637.3025
687.26,669.7908
455.1,446.0865
786.0,801.907
728.0,747.98047
731.1,695.8849
760.0,774.52637
685.0,691.8661
700.0,698.2175
651.5,629.4018
309.57,276.83704
755.0,695.05206
512.77,516.9956
646.11,635.6837
607.55,571.2455
674.2,675.33685
568.837,562.6619
585.0,561.6653
868.0,920.9453
477.6,465.18665
472.25,478.29547
559.63,555.6642
599.6,597.6415
612.0,575.70465
597.6,581.8889
603.5,574.0852
772.0,800.69684
513.9,453.72873
662.0,681.68774
667.0,674.81244
594.099,617.5138
652.98,631.8126
685.0,665.4204
593.8,603.2166
827.0,799.9473
692.0,682.9181
519.19,497.404
550.0,540.8777
630.56,610.582
511.0,507.5012
560.06,546.2038
587.0,574.37427
508.27,500.28134
720.1,745.6288
619.18,539.23285
709.8,672.6382
260.0,254.48302
399.6,384.2071
603.7,629.6968
817.0,824.447
710.0,718.0262
648.0,639.88995
653.0,641.8165
654.3,664.13684
769.0,758.5483
553.5,552.21313
605.3,593.2549
377.922,400.11896
645.88,630.5377
526.0,529.296
742.0,689.1915
695.0,707.1964
530.63,543.42004
851.0,748.8933
1037.0,1044.2897
651.0,646.725
662.0,627.6593
629.1,614.13367
556.9,549.80835
551.0,561.2549
420.26,388.8659
690.0,674.4579
763.0,737.4884
289.749,304.61035
705.67,685.0738
658.0,669.9075
513.98,511.0362
672.2,630.7021
597.0,601.09045
395.425,395.3127
666.11,659.7899
271.1,284.27524
780.0,783.33984
307.6,324.20032
430.62,427.34067
708.0,679.14014
608.5,606.7342
632.7,637.8917
797.0,797.3882
466.8,494.31015
410.6,375.9052
682.0,708.0674
582.46,568.00867
845.0,836.66187
427.12,392.92767
504.35,501.2816
605.0,607.7277
451.56,402.92587
638.0,615.08295
361.85,357.21548
482.3,463.3082
476.2,497.12146
772.0,829.03577
618.0,577.0534
676.0,643.6781
535.963,541.35706
606.0,609.8507
595.8,580.9745
694.0,707.1964
508.09,494.04062
760.0,796.0985
323.55,370.41357
518.15,527.23
716.0,689.78235
555.8,549.00183
767.0,761.8442
516.7,507.09726
576.0,592.5085
645.0,750.1239
388.45,392.69495
495.8,521.46765
367.86,325.87744
770.0,796.22815
615.2,629.22766
507.0,497.63934
512.618,507.2058
604.4,609.23627
574.57,543.3773
579.45,555.7173
498.2,488.67102
475.5,513.6777
588.0,530.6489
531.1,532.5569
620.1,628.1439
842.0,891.98395
632.69,605.7838
