Pre_model_true_temp,post_model_true_temp
537.471,736.0
640.0,610.3
365.0,658.0
919.0,531.09
598.0,592.6
568.9,703.9
728.0,289.749
723.2,780.0
904.0,620.1
536.4,623.0
505.35,830.0
660.0,272.0
328.04,474.93
438.848,712.0
549.95,536.4
637.3,615.2
664.1,794.0
779.0,540.16
126.1931,438.99
623.0,685.0
707.0,150.71
594.0,592.0
528.7,580.0
798.0,763.0
702.0,653.1
437.84,311.1
778.0,648.0
594.37,610.4
657.0,377.5
487.0,625.0
673.0,582.46
592.0,569.5
694.0,757.0
647.23,363.68
693.0,785.0
496.3,555.0
783.1,602.6
664.1,507.549
471.17,521.0
611.7,551.0
617.1,787.0
706.0,720.1
584.1,726.9
521.0,487.6
467.8,372.05
423.27,438.848
473.0,766.0
812.0,639.66
479.1,698.77
543.0,697.43
708.2,616.18
598.0,627.8
574.4,308.52
502.2,803.1
679.0,842.0
679.0,497.7
482.02,630.56
356.9,674.0
511.749,521.0
651.0,665.0
718.0,663.1
790.0,695.19
586.78,504.35
623.8,647.02
770.0,455.1
317.45,716.0
840.0,451.56
685.7,571.2
732.0,616.0
628.0,723.0
730.0,561.5
678.5,562.98
384.97,538.0
651.0,480.91
624.0,384.97
562.032,893.0
789.9,518.0
707.0,462.99
618.0,323.5
454.9,507.0
665.0,768.0
850.0,523.78
418.6,778.0
530.0,770.0
304.1467,437.45
620.2,651.5
448.9,405.45
836.0,772.0
714.0,607.5
400.31,701.0
451.65,899.0
500.0,428.95
594.0,549.95
456.6,766.0
406.814,748.0
575.3,471.17
711.1,635.0
573.5,418.6
702.0,535.62
302.98,579.45
687.64,516.7
397.0,897.0
510.2,323.55
549.0,830.0
134.35,859.0
784.0,530.0
373.05,505.1
607.0,609.0
671.8,673.0
682.0,528.0
803.1,3.3
386.449,820.0
561.5,670.0
518.0,634.4
453.0,594.37
428.0,373.42
772.0,550.0
547.76,454.4
685.0,777.8
641.39,523.1
792.0,354.48
544.1,475.14
510.0,594.5
